signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-10-18 06:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,7,5,15,4,2,4,3,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29785.794447,3.5,0.015,TP,2.188,-0.47,3.64,True,47,5,2023-10-18 09:00:00+00:00,2023-10-20 08:00:00+00:00,0.0539,0.0,False,52.0
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,7,3,15,4,4,4,3,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,TP,1.657,-0.633,3.04,True,41,5,2023-10-21 23:00:00+00:00,2023-10-23 16:00:00+00:00,0.0873,0.0,False,62.6
2024-01-16 09:00:00+00:00,BTCUSD,LONG,continuation,68,25,2,10,5,15,4,3,0,3,1,42821.782,D1_SUPPORT,42854.12998,42211.31803,44294.512222,2.241,0.015,SL,-1.0,-1.251,0.498,False,4,2,2024-01-16 10:00:00+00:00,2024-01-16 14:00:00+00:00,-0.0054,0.0,False,31.4
2024-01-26 07:00:00+00:00,BTCUSD,SHORT,continuation,69,25,2,10,1,12,4,3,8,3,1,40469.986,D1_RESISTANCE,40269.64995,40876.7301,38144.869425,3.5,0.0151,SL,-1.0,-1.777,0.332,False,2,2,2024-01-26 09:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0525,7.0,False,30.7
2024-02-02 00:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,3,15,4,2,1,3,1,42821.782,D1_SUPPORT,43088.06118,42393.56418,44578.96,2.147,0.0161,SL,-0.616,-1.247,0.576,False,68,3,2024-02-02 02:00:00+00:00,2024-02-04 22:00:00+00:00,0.0203,3.0,False,24.2
2024-02-05 07:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,5,15,4,3,1,3,1,42821.782,D1_SUPPORT,42985.73624,42340.950196,44578.96,2.471,0.015,SL,-0.596,-1.012,0.906,False,11,3,2024-02-05 09:00:00+00:00,2024-02-05 20:00:00+00:00,0.0149,10.0,False,13.7
2024-02-06 09:00:00+00:00,BTCUSD,LONG,continuation,66,25,2,7,5,15,4,3,1,3,1,42821.782,D1_SUPPORT,42905.5669,42261.983397,44578.96,2.6,0.015,TP,1.625,-0.385,2.786,True,38,5,2024-02-06 10:00:00+00:00,2024-02-08 00:00:00+00:00,0.0125,0.0,False,13.9
2024-04-06 09:00:00+00:00,BTCUSD,LONG,continuation,67,25,2,10,3,15,4,3,1,3,1,67159.533333,H4_SUPPORT,67656.416,66487.938,70871.764,2.752,0.0173,TP,1.72,-0.11,3.813,True,45,5,2024-04-06 11:00:00+00:00,2024-04-08 08:00:00+00:00,0.03,0.0,False,25.3
2024-04-10 01:00:00+00:00,BTCUSD,LONG,continuation,69,25,3,10,3,15,4,4,1,3,1,68770.0,D1_SUPPORT,69131.2105,68082.3,71453.515,2.214,0.0152,SL,-1.0,-1.498,0.366,False,10,2,2024-04-10 02:00:00+00:00,2024-04-10 12:00:00+00:00,0.0398,3.0,False,33.0
2024-04-19 17:00:00+00:00,BTCUSD,LONG,continuation,66,20,5,10,3,15,4,4,1,3,1,64285.79,D1_SUPPORT,64498.5444,63531.066234,66499.39,2.068,0.015,SL,-1.0,-1.597,0.0,False,5,2,2024-04-19 18:00:00+00:00,2024-04-19 23:00:00+00:00,-0.0211,10.0,False,38.5
2024-05-02 12:00:00+00:00,BTCUSD,SHORT,continuation,72,25,2,10,0,15,4,4,8,3,1,59177.552857,H4_RESISTANCE,59080.74782,59971.41236,55963.42193,3.5,0.0151,SL,-1.0,-1.031,0.498,False,13,2,2024-05-02 14:00:00+00:00,2024-05-03 03:00:00+00:00,-0.0909,4.0,False,31.5
2024-05-17 16:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,3,12,4,4,1,3,1,65913.6425,D1_SUPPORT,66796.13002,65254.506075,71604.535,3.119,0.0231,TP,1.949,-0.609,3.362,True,79,5,2024-05-17 17:00:00+00:00,2024-05-21 00:00:00+00:00,0.0535,0.0,False,31.9
2024-06-10 17:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,5,12,4,2,1,3,1,69005.748571,D1_SUPPORT,69603.838664,68559.781084,72135.8875,2.425,0.015,SL,-1.0,-1.057,0.093,False,6,2,2024-06-10 19:00:00+00:00,2024-06-11 01:00:00+00:00,0.0326,16.0,False,22.5
2024-07-16 02:00:00+00:00,BTCUSD,LONG,continuation,66,25,0,7,3,15,4,4,4,3,1,64457.315556,D1_SUPPORT,64674.18545,63704.072668,67177.64,2.581,0.015,SL,-1.0,-1.247,0.33,False,2,2,2024-07-16 03:00:00+00:00,2024-07-16 05:00:00+00:00,0.0577,10.0,False,37.2
2024-07-16 10:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,1,15,4,4,4,3,1,62832.043333,D1_SUPPORT,63316.65292,62203.7229,66059.808571,2.465,0.0176,TP,1.541,-0.227,2.527,True,14,5,2024-07-16 11:00:00+00:00,2024-07-17 01:00:00+00:00,0.0344,4.0,False,38.9
2024-07-17 14:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,1,15,4,3,1,3,1,64401.98,D1_SUPPORT,64674.18545,63704.072668,67177.64,2.581,0.015,SL,-1.0,-1.003,0.473,False,23,2,2024-07-17 15:00:00+00:00,2024-07-18 14:00:00+00:00,0.056,4.0,False,38.1
