signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-14 18:00:00+00:00,BTCUSD,LONG,reversal,48,16,3,0,0,12,4,5,4,3,1,30983.25,CHOCH_BULL,30061.73817,29610.812097,31050.234286,2.192,0.015,SL,-0.613,-1.219,0.842,False,93,3,2023-07-14 19:00:00+00:00,2023-07-18 16:00:00+00:00,0.0195,32.0,False,33.3
2023-07-22 01:00:00+00:00,BTCUSD,LONG,continuation,59,16,2,10,3,15,4,4,1,3,1,29705.486,D1_SUPPORT,29864.16198,29408.43114,31114.2425,2.743,0.0153,SL,-0.579,-1.896,1.066,False,52,3,2023-07-22 05:00:00+00:00,2023-07-24 09:00:00+00:00,0.0073,5.0,False,29.5
2023-08-02 02:00:00+00:00,BTCUSD,LONG,continuation,60,16,5,7,3,15,4,5,1,3,1,29705.486,D1_SUPPORT,29751.23828,29304.969706,31114.2425,3.054,0.015,SL,-1.0,-1.116,0.0,False,11,2,2023-08-02 03:00:00+00:00,2023-08-02 14:00:00+00:00,0.0093,27.0,False,19.2
2023-08-09 11:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,1,15,4,2,4,3,1,29762.488333,D1_SUPPORT,29828.54336,29381.11521,31114.2425,2.874,0.015,SL,-1.0,-1.01,0.0,False,6,2,2023-08-09 14:00:00+00:00,2023-08-09 20:00:00+00:00,0.0153,9.0,False,24.4
2023-09-17 01:00:00+00:00,BTCUSD,SHORT,continuation,61,16,2,10,1,15,4,5,4,3,1,26681.272857,D1_RESISTANCE,26549.3427,26948.085586,25666.894667,2.213,0.015,SL,-1.0,-1.605,0.431,False,30,2,2023-09-17 04:00:00+00:00,2023-09-18 10:00:00+00:00,-0.0055,5.0,False,31.7
2023-09-20 07:00:00+00:00,BTCUSD,LONG,continuation,59,25,2,7,1,9,4,3,4,3,1,26646.818333,D1_SUPPORT,27019.42299,26614.131645,28437.942697,3.5,0.015,SL,-1.0,-1.136,0.692,False,27,2,2023-09-20 09:00:00+00:00,2023-09-21 12:00:00+00:00,0.0157,12.0,False,29.8
2023-09-29 01:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,3,10,3,4,4,3,1,26750.55,D1_SUPPORT,26963.625964,26559.171574,28379.216327,3.5,0.015,TP,2.187,-0.738,3.626,True,77,5,2023-09-29 02:00:00+00:00,2023-10-02 07:00:00+00:00,0.0156,13.0,False,34.6
2023-10-04 12:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,10,1,5,4,4,1,3,1,26750.55,D1_SUPPORT,27514.87996,26483.0445,29762.488333,2.178,0.0375,TIMEOUT,-0.305,-0.946,0.756,False,240,3,2023-10-04 13:00:00+00:00,2023-10-14 13:00:00+00:00,0.0271,8.0,False,27.7
2023-10-16 18:00:00+00:00,BTCUSD,LONG,continuation,62,25,0,7,5,12,3,5,1,3,1,28460.916,D1_SUPPORT,28300.04223,27875.541597,29762.488333,3.445,0.015,TP,2.153,-0.544,3.64,True,83,5,2023-10-16 21:00:00+00:00,2023-10-20 08:00:00+00:00,0.0542,0.0,False,33.0
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,72,25,5,7,3,15,4,5,4,3,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,TP,1.657,-0.633,3.04,True,41,5,2023-10-21 23:00:00+00:00,2023-10-23 16:00:00+00:00,0.0873,5.0,False,62.6
2023-12-29 01:00:00+00:00,BTCUSD,SHORT,continuation,59,10,5,7,5,15,4,5,4,3,1,42430.16,H4_RESISTANCE,42416.67402,43941.859343,38029.06,2.877,0.036,SL,-0.57,-1.159,0.732,False,93,3,2023-12-29 02:00:00+00:00,2024-01-01 23:00:00+00:00,0.0213,0.0,False,18.6
2024-01-17 00:00:00+00:00,BTCUSD,LONG,continuation,58,16,2,10,3,15,4,3,1,3,1,42821.782,D1_SUPPORT,43005.816,42360.72876,44578.96,2.439,0.015,SL,-1.0,-1.171,0.086,False,15,2,2024-01-17 01:00:00+00:00,2024-01-17 16:00:00+00:00,-0.0018,5.0,False,30.8
2024-01-19 05:00:00+00:00,BTCUSD,SHORT,continuation,66,16,5,7,3,15,4,4,8,3,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-0.531,-1.066,1.662,False,12,3,2024-01-19 06:00:00+00:00,2024-01-19 18:00:00+00:00,-0.043,5.0,False,39.1
2024-01-20 19:00:00+00:00,BTCUSD,SHORT,reversal,55,16,2,10,1,5,4,5,8,3,1,42200.69,CHOCH_BEAR,41674.59296,42618.8286,38369.76822,3.5,0.0227,BE,1.313,-0.34,3.304,True,140,5,2024-01-20 20:00:00+00:00,2024-01-26 16:00:00+00:00,-0.0299,11.0,False,37.3
2024-01-29 17:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,42825.265,D1_SUPPORT,42910.57686,42266.918207,44578.96,2.592,0.015,BE,0.486,-0.352,1.51,True,29,4,2024-01-29 18:00:00+00:00,2024-01-30 23:00:00+00:00,0.0199,10.0,False,29.9
2024-02-02 00:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,3,15,4,2,1,3,1,42821.782,D1_SUPPORT,43088.06118,42393.56418,44578.96,2.147,0.0161,SL,-0.616,-1.247,0.576,False,68,3,2024-02-02 02:00:00+00:00,2024-02-04 22:00:00+00:00,0.0203,11.0,False,24.2
2024-02-05 07:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,7,5,15,4,5,1,3,1,42821.782,D1_SUPPORT,42985.73624,42340.950196,44578.96,2.471,0.015,SL,-0.596,-1.012,0.906,False,11,3,2024-02-05 09:00:00+00:00,2024-02-05 20:00:00+00:00,0.0149,0.0,False,13.7
2024-02-06 17:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,15,4,2,1,3,1,42821.782,D1_SUPPORT,43094.29868,42393.56418,44578.96,2.119,0.0163,TP,1.324,-0.437,2.289,True,30,5,2024-02-06 18:00:00+00:00,2024-02-08 00:00:00+00:00,0.0166,0.0,False,12.5
2024-03-27 13:00:00+00:00,BTCUSD,LONG,continuation,62,25,2,10,1,12,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,BE,0.911,-0.665,2.418,True,49,5,2024-03-27 14:00:00+00:00,2024-03-29 15:00:00+00:00,0.0955,0.0,False,29.4
2024-04-01 16:00:00+00:00,BTCUSD,SHORT,continuation,59,10,5,7,5,15,4,5,4,3,1,69212.405,D1_RESISTANCE,68703.29232,69904.52905,65735.694286,2.47,0.0175,TP,1.544,-0.996,2.704,True,17,5,2024-04-01 17:00:00+00:00,2024-04-02 10:00:00+00:00,0.0475,5.0,False,28.7
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,65,25,2,10,0,15,4,4,1,3,1,67159.533333,H4_SUPPORT,67728.26202,66487.938,70523.325,2.253,0.0183,SL,-1.0,-1.087,0.018,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.482,-0.3,2.787,True,49,5,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,15,4,5,4,3,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,BE,0.58,-0.248,1.871,True,2,4,2024-04-14 02:00:00+00:00,2024-04-14 04:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-14 09:00:00+00:00,BTCUSD,SHORT,continuation,61,16,5,7,1,15,4,5,4,3,1,64351.99,H4_RESISTANCE,64262.45838,66291.356428,57161.315213,3.5,0.0316,SL,-1.0,-1.132,0.832,False,20,2,2024-04-14 10:00:00+00:00,2024-04-15 06:00:00+00:00,-0.0431,12.0,False,36.8
2024-04-15 11:00:00+00:00,BTCUSD,LONG,continuation,58,16,2,10,3,15,4,3,1,3,1,65635.006364,H4_SUPPORT,65728.39976,63709.8228,71046.888,2.635,0.0307,SL,-1.0,-1.198,0.123,False,4,2,2024-04-15 13:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0154,17.0,False,42.2
2024-04-16 18:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,0,15,4,4,8,3,1,63760.566667,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,TP,1.933,-0.583,3.316,True,17,5,2024-04-16 21:00:00+00:00,2024-04-17 14:00:00+00:00,-0.0546,4.0,False,46.4
2024-04-17 15:00:00+00:00,BTCUSD,SHORT,continuation,60,16,0,7,5,15,4,5,4,3,1,60955.181429,H4_RESISTANCE,60578.229287,61491.468925,57381.890556,3.5,0.0151,SL,-1.0,-1.509,0.503,False,2,2,2024-04-17 16:00:00+00:00,2024-04-17 18:00:00+00:00,-0.0921,0.0,False,46.1
2024-04-18 07:00:00+00:00,BTCUSD,SHORT,continuation,59,16,5,7,1,9,4,5,8,3,1,62307.776364,H4_RESISTANCE,61300.43616,62930.854128,55593.973273,3.5,0.0266,SL,-1.0,-1.087,0.0,False,3,2,2024-04-18 08:00:00+00:00,2024-04-18 11:00:00+00:00,-0.0762,9.0,False,48.5
2024-04-21 04:00:00+00:00,BTCUSD,LONG,continuation,60,16,5,7,3,15,4,5,1,3,1,64903.755,H4_SUPPORT,64925.888,63033.7104,68882.0,2.091,0.0291,BE,0.392,-0.364,1.219,True,79,4,2024-04-21 07:00:00+00:00,2024-04-24 14:00:00+00:00,-0.0126,10.0,False,30.1
2024-04-24 15:00:00+00:00,BTCUSD,SHORT,continuation,59,10,5,7,5,15,4,5,4,3,1,64732.721429,H4_RESISTANCE,64739.33022,66740.136508,60369.6075,2.184,0.0309,TP,1.365,-0.279,2.289,True,144,5,2024-04-24 16:00:00+00:00,2024-04-30 16:00:00+00:00,-0.0194,0.0,False,20.0
2024-04-30 21:00:00+00:00,BTCUSD,SHORT,continuation,62,16,5,7,3,15,4,4,4,3,1,60369.6075,D1_RESISTANCE,60578.229287,61491.468925,57381.890556,3.5,0.0151,TP,2.187,-0.379,3.809,True,9,5,2024-04-30 22:00:00+00:00,2024-05-01 07:00:00+00:00,-0.0751,5.0,False,24.9
2024-05-02 12:00:00+00:00,BTCUSD,SHORT,continuation,72,25,2,10,0,15,4,4,8,3,1,59177.552857,H4_RESISTANCE,59080.74782,59971.41236,55963.42193,3.5,0.0151,SL,-1.0,-1.031,0.498,False,13,2,2024-05-02 14:00:00+00:00,2024-05-03 03:00:00+00:00,-0.0909,12.0,False,31.5
2024-05-06 08:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,5,12,4,5,1,3,1,64477.013333,D1_SUPPORT,65012.75392,63832.2432,68882.0,3.278,0.0182,SL,-1.0,-1.414,0.0,False,2,2,2024-05-06 10:00:00+00:00,2024-05-06 12:00:00+00:00,0.0175,5.0,False,33.0
2024-05-08 09:00:00+00:00,BTCUSD,SHORT,continuation,62,16,5,7,3,15,4,4,4,3,1,62595.908333,D1_RESISTANCE,62426.61402,63363.01323,60369.6075,2.197,0.015,BE,0.824,-0.429,1.919,True,30,5,2024-05-08 10:00:00+00:00,2024-05-09 16:00:00+00:00,-0.0255,0.0,False,25.4
2024-05-10 17:00:00+00:00,BTCUSD,SHORT,continuation,65,16,5,7,5,15,4,5,4,3,1,60421.686,D1_RESISTANCE,60527.95343,61440.43514,57334.267445,3.5,0.0151,SL,-1.0,-1.082,0.078,False,21,2,2024-05-10 18:00:00+00:00,2024-05-11 15:00:00+00:00,-0.0521,0.0,False,18.9
2024-05-16 16:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,0,12,4,5,4,3,1,64443.216,D1_SUPPORT,65039.968935,64064.369401,67160.595,2.174,0.015,TP,1.359,-0.214,2.472,True,22,5,2024-05-16 17:00:00+00:00,2024-05-17 15:00:00+00:00,0.028,28.0,False,30.4
2024-05-17 16:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,3,12,4,5,1,3,1,65913.6425,D1_SUPPORT,66796.13002,65254.506075,71604.535,3.119,0.0231,TP,1.949,-0.609,3.362,True,79,5,2024-05-17 17:00:00+00:00,2024-05-21 00:00:00+00:00,0.0535,5.0,False,31.9
2024-05-23 17:00:00+00:00,BTCUSD,LONG,continuation,64,25,3,10,0,15,4,2,1,3,1,67160.595,D1_SUPPORT,67522.775317,66509.933687,71067.721021,3.5,0.015,SL,-1.0,-1.195,0.424,False,2,2,2024-05-23 18:00:00+00:00,2024-05-23 20:00:00+00:00,0.0395,7.0,False,31.1
2024-05-24 05:00:00+00:00,BTCUSD,LONG,continuation,59,25,3,0,3,15,4,4,1,3,1,67160.595,D1_SUPPORT,67165.39002,65145.6432,71646.142222,2.218,0.0301,BE,0.832,-0.28,1.744,True,130,5,2024-05-24 06:00:00+00:00,2024-05-29 16:00:00+00:00,0.033,12.0,False,30.5
2024-06-02 17:00:00+00:00,BTCUSD,LONG,continuation,65,25,2,10,3,12,4,5,0,3,1,67153.406,D1_SUPPORT,67413.01011,66401.814958,70837.3625,3.386,0.015,TP,2.117,0.0,3.546,True,45,5,2024-06-02 19:00:00+00:00,2024-06-04 16:00:00+00:00,0.0207,0.0,False,12.4
2024-06-09 17:00:00+00:00,BTCUSD,LONG,continuation,62,16,2,10,5,15,4,5,1,3,1,69011.145714,D1_SUPPORT,69616.63341,68572.383909,72135.8875,2.413,0.015,SL,-1.0,-1.069,0.555,False,31,2,2024-06-09 18:00:00+00:00,2024-06-11 01:00:00+00:00,0.0287,8.0,False,28.5
2024-06-12 14:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,5,12,4,5,0,3,1,68985.0,D1_SUPPORT,69603.838664,68559.781084,72135.8875,2.425,0.015,SL,-1.0,-2.255,0.248,False,4,2,2024-06-12 15:00:00+00:00,2024-06-12 19:00:00+00:00,0.0313,43.0,True,32.5
2024-06-14 16:00:00+00:00,BTCUSD,SHORT,continuation,61,8,5,7,5,15,4,5,8,3,1,66026.785714,D1_RESISTANCE,65518.28393,66505.996753,62900.89,2.65,0.0151,SL,-1.0,-1.123,0.446,False,4,2,2024-06-14 17:00:00+00:00,2024-06-14 21:00:00+00:00,-0.0366,5.0,False,20.3
2024-06-17 10:00:00+00:00,BTCUSD,SHORT,continuation,65,16,5,7,5,15,4,5,4,3,1,65989.286667,D1_RESISTANCE,66021.78,67824.94006,60333.11,3.155,0.0273,TP,1.972,-0.708,3.34,True,173,5,2024-06-17 11:00:00+00:00,2024-06-24 16:00:00+00:00,-0.0246,8.0,False,22.5
2024-06-24 21:00:00+00:00,BTCUSD,SHORT,continuation,62,16,0,7,3,15,4,5,8,3,1,60333.11,D1_RESISTANCE,60233.122659,61141.159684,57054.993071,3.5,0.0151,SL,-1.0,-1.504,0.254,False,5,2,2024-06-24 22:00:00+00:00,2024-06-25 03:00:00+00:00,-0.0941,5.0,False,39.4
2024-06-26 00:00:00+00:00,BTCUSD,SHORT,continuation,59,16,2,10,1,9,4,5,8,3,1,62820.741667,D1_RESISTANCE,61773.327934,62704.584134,58513.931234,3.5,0.0151,BE,0.656,-0.767,1.837,True,102,4,2024-06-26 01:00:00+00:00,2024-06-30 07:00:00+00:00,-0.0645,17.0,False,41.3
2024-07-03 20:00:00+00:00,BTCUSD,SHORT,continuation,64,16,0,7,5,15,4,5,8,3,1,60288.091667,D1_RESISTANCE,59728.47852,60890.972584,55659.749297,3.5,0.0195,TP,2.187,-0.662,3.673,True,29,5,2024-07-03 21:00:00+00:00,2024-07-05 02:00:00+00:00,-0.0741,0.0,False,25.0
