signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2025-02-02 20:00:00+00:00,BTCUSD,SHORT,continuation,50,16,5,7,5,5,4,5,1,1,1,75185.044785,H4_RESISTANCE,73349.718465,75936.895233,67375.973599,2.309,0.0353,SL,-0.606,-1.074,0.655,False,157,3,2025-02-02 21:00:00+00:00,2025-02-09 10:00:00+00:00,,0.0,False,11.9
2025-02-09 11:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,5,15,4,3,1,1,1,75550.927578,H4_SUPPORT,75716.472828,74580.725735,78477.916234,2.431,0.015,BE,0.76,-0.523,2.015,True,26,4,2025-02-09 13:00:00+00:00,2025-02-10 15:00:00+00:00,0.0347,0.0,False,15.8
2025-02-16 08:00:00+00:00,BTCUSD,SHORT,continuation,49,8,5,7,3,15,4,4,1,1,1,77114.81582,H4_RESISTANCE,77082.532791,79572.317498,70509.347256,2.64,0.0323,BE,0.825,-0.209,1.607,True,14,4,2025-02-16 09:00:00+00:00,2025-02-16 23:00:00+00:00,0.0247,5.0,False,22.2
2025-02-17 00:00:00+00:00,BTCUSD,LONG,continuation,51,16,2,10,5,9,4,2,1,1,1,75523.024774,H4_SUPPORT,75811.487929,74674.31561,78245.287067,2.14,0.015,BE,0.669,-0.671,2.344,True,5,4,2025-02-17 01:00:00+00:00,2025-02-17 06:00:00+00:00,0.0255,43.0,True,25.2
2025-04-28 07:00:00+00:00,BTCUSD,LONG,continuation,53,25,3,2,0,12,4,4,1,1,1,183264.94874,H4_SUPPORT,185479.93286,181432.299253,195758.497254,2.539,0.0218,TP,1.428,-0.945,2.848,True,119,4,2025-04-28 08:00:00+00:00,2025-05-03 07:00:00+00:00,0.1089,12.0,False,19.3
2025-05-09 20:00:00+00:00,BTCUSD,LONG,continuation,49,16,2,2,5,15,4,2,1,1,1,179992.014038,H4_SUPPORT,180824.25884,178111.894958,188200.25266,2.719,0.015,BE,0.85,-0.469,1.475,True,13,4,2025-05-09 21:00:00+00:00,2025-05-10 10:00:00+00:00,0.0224,45.0,True,44.2
2025-05-11 03:00:00+00:00,BTCUSD,LONG,continuation,49,16,2,10,0,12,4,2,1,1,1,179915.390128,H4_SUPPORT,182235.990885,178116.236227,190746.309373,2.066,0.0226,TP,1.162,-0.003,2.326,True,16,4,2025-05-11 06:00:00+00:00,2025-05-11 22:00:00+00:00,0.0279,9.0,False,28.1
2025-05-27 23:00:00+00:00,BTCUSD,LONG,continuation,55,16,5,7,3,15,4,2,1,1,1,179827.285872,H4_SUPPORT,180071.221663,177370.153338,186378.629804,2.335,0.015,BE,0.73,-0.493,1.591,True,14,4,2025-05-28 03:00:00+00:00,2025-05-28 17:00:00+00:00,-0.0006,10.0,False,12.4
2025-05-28 18:00:00+00:00,BTCUSD,LONG,continuation,51,16,2,7,0,15,4,4,1,1,1,179827.285872,H4_SUPPORT,180071.221663,177370.153338,186276.663846,2.297,0.015,BE,0.718,-0.816,1.313,True,11,4,2025-05-28 19:00:00+00:00,2025-05-29 06:00:00+00:00,-0.0031,17.0,False,19.1
2025-05-31 07:00:00+00:00,BTCUSD,LONG,continuation,57,25,2,7,1,12,4,3,1,1,1,183165.610705,H4_SUPPORT,185513.561563,181333.954598,194826.628689,2.228,0.0225,SL,-1.0,-1.304,0.159,False,8,2,2025-05-31 08:00:00+00:00,2025-05-31 16:00:00+00:00,0.023,0.0,False,13.2
2025-06-01 09:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,5,15,4,5,1,1,1,187452.836113,H4_SUPPORT,188115.700456,185293.964949,194826.628689,2.378,0.015,SL,-1.0,-1.142,0.055,False,7,2,2025-06-01 10:00:00+00:00,2025-06-01 17:00:00+00:00,0.0364,3.0,False,14.4
2025-06-03 18:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,15,4,4,1,1,1,187612.385484,H4_SUPPORT,188668.185348,185736.261629,194826.628689,2.1,0.0155,SL,-1.0,-1.784,0.5,False,13,2,2025-06-03 19:00:00+00:00,2025-06-04 08:00:00+00:00,0.0375,3.0,False,14.7
2025-06-05 09:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,3,15,4,3,1,1,1,189084.806829,D1_SUPPORT,189143.651468,186306.496696,194826.628689,2.003,0.015,BE,0.626,-0.572,1.401,True,10,4,2025-06-05 10:00:00+00:00,2025-06-05 20:00:00+00:00,0.0387,5.0,False,10.3
2025-06-07 01:00:00+00:00,BTCUSD,LONG,continuation,56,25,2,2,1,15,4,4,1,1,1,189084.806829,D1_SUPPORT,189143.651468,186306.496696,194826.628689,2.003,0.015,BE,0.626,-0.492,1.888,True,9,4,2025-06-07 03:00:00+00:00,2025-06-07 12:00:00+00:00,0.0392,9.0,False,15.3
2025-06-07 17:00:00+00:00,BTCUSD,SHORT,continuation,49,4,5,10,5,15,4,3,1,1,1,189084.806829,D1_RESISTANCE,187953.56107,190975.654897,181181.512901,2.241,0.0161,TP,1.26,-0.062,2.657,True,3,4,2025-06-07 18:00:00+00:00,2025-06-07 21:00:00+00:00,0.0197,32.0,False,12.7
2025-06-08 06:00:00+00:00,BTCUSD,SHORT,continuation,51,16,5,7,3,9,4,4,1,1,1,183133.633922,H4_RESISTANCE,181568.746942,184305.964233,175144.080682,2.347,0.0151,SL,-0.603,-2.12,0.821,False,4,3,2025-06-08 09:00:00+00:00,2025-06-08 13:00:00+00:00,-0.0211,22.0,False,15.1
2025-06-14 02:00:00+00:00,BTCUSD,LONG,continuation,56,25,2,7,1,12,4,2,1,1,1,189084.806829,D1_SUPPORT,190755.580105,187894.246403,197407.898379,2.325,0.015,SL,-1.0,-1.001,0.409,False,5,2,2025-06-14 06:00:00+00:00,2025-06-14 11:00:00+00:00,0.0349,4.0,False,15.1
2025-06-15 04:00:00+00:00,BTCUSD,LONG,continuation,66,25,2,10,5,15,4,2,1,1,1,188656.182239,D1_SUPPORT,190216.959605,186769.620417,197407.898379,2.086,0.0181,TP,1.173,0.0,2.205,True,2,4,2025-06-15 05:00:00+00:00,2025-06-15 07:00:00+00:00,0.0239,0.0,False,10.3
2025-06-25 00:00:00+00:00,BTCUSD,LONG,continuation,51,25,2,0,0,15,4,2,1,1,1,194816.309567,H4_SUPPORT,190755.580105,187894.246403,197467.37652,2.346,0.015,TP,1.319,0.0,3.437,True,3,4,2025-06-25 02:00:00+00:00,2025-06-25 05:00:00+00:00,0.0235,44.0,False,15.3
2025-06-25 22:00:00+00:00,BTCUSD,LONG,continuation,52,25,2,0,1,15,4,2,1,1,1,194816.309567,H4_SUPPORT,190755.580105,187894.246403,197579.284119,2.385,0.015,SL,-1.0,-1.487,0.039,False,1,2,2025-06-26 01:00:00+00:00,2025-06-26 02:00:00+00:00,0.0211,22.0,False,11.9
2025-06-26 03:00:00+00:00,BTCUSD,SHORT,continuation,51,10,5,7,5,15,4,2,1,1,1,188941.98506,D1_RESISTANCE,187362.006698,190831.404911,175219.112956,3.5,0.0185,TP,1.969,-0.442,3.809,True,26,4,2025-06-26 04:00:00+00:00,2025-06-27 06:00:00+00:00,-0.0268,10.0,False,12.6
2025-06-27 19:00:00+00:00,BTCUSD,SHORT,continuation,55,25,5,7,0,9,4,2,1,1,1,181103.550814,D1_RESISTANCE,180040.938723,182755.123729,171962.962902,2.976,0.0151,SL,-1.0,-1.063,0.114,False,1,2,2025-06-27 21:00:00+00:00,2025-06-27 22:00:00+00:00,-0.0688,12.0,False,25.3
2025-06-28 15:00:00+00:00,BTCUSD,SHORT,continuation,59,25,5,7,3,9,4,3,1,1,1,181075.712549,D1_RESISTANCE,180040.938723,182755.123729,171430.971095,3.172,0.0151,SL,-1.0,-1.562,0.72,False,4,2,2025-06-28 16:00:00+00:00,2025-06-28 20:00:00+00:00,-0.0682,8.0,False,26.8
2025-06-29 05:00:00+00:00,BTCUSD,SHORT,continuation,67,25,2,10,5,15,4,3,1,1,1,181075.712549,D1_RESISTANCE,180624.869747,183334.242793,174650.47925,2.205,0.015,TP,1.24,-0.834,2.229,True,3,4,2025-06-29 06:00:00+00:00,2025-06-29 09:00:00+00:00,-0.0528,19.0,False,27.5
2025-06-30 02:00:00+00:00,BTCUSD,SHORT,continuation,53,25,5,7,1,5,4,3,1,1,1,181075.712549,D1_RESISTANCE,180040.938723,182755.123729,171430.971095,3.172,0.0151,SL,-1.0,-1.043,0.85,False,1,2,2025-06-30 06:00:00+00:00,2025-06-30 07:00:00+00:00,-0.0688,7.0,False,31.5
2025-06-30 12:00:00+00:00,BTCUSD,LONG,continuation,54,10,5,7,5,15,4,5,1,1,1,188656.182239,D1_SUPPORT,189267.40705,186428.395945,197406.868257,2.867,0.015,SL,-1.0,-1.521,0.0,False,1,2,2025-06-30 14:00:00+00:00,2025-06-30 15:00:00+00:00,0.0009,0.0,False,30.1
2025-06-30 16:00:00+00:00,BTCUSD,SHORT,continuation,49,25,3,2,1,9,4,2,1,1,1,188656.182239,D1_RESISTANCE,185600.403109,188398.399136,175807.417015,3.5,0.0151,TP,1.969,-0.793,3.65,True,12,4,2025-06-30 20:00:00+00:00,2025-07-01 08:00:00+00:00,-0.0226,48.0,False,28.0
2025-07-01 13:00:00+00:00,BTCUSD,SHORT,continuation,55,25,5,7,3,5,4,3,1,1,1,181075.712549,D1_RESISTANCE,180040.938723,182755.123729,171430.971095,3.172,0.0151,SL,-1.0,-1.003,0.087,False,5,2,2025-07-01 16:00:00+00:00,2025-07-01 21:00:00+00:00,-0.0726,28.0,False,23.2
2025-07-03 10:00:00+00:00,BTCUSD,SHORT,continuation,61,25,2,10,0,12,4,5,1,1,1,181075.712549,D1_RESISTANCE,180040.938723,182755.123729,171584.808444,3.116,0.0151,SL,-1.0,-1.047,0.047,False,3,2,2025-07-03 13:00:00+00:00,2025-07-03 16:00:00+00:00,-0.0507,4.0,False,19.7
2025-07-04 01:00:00+00:00,BTCUSD,SHORT,continuation,53,25,2,0,1,15,4,3,1,1,1,181075.712549,D1_RESISTANCE,180853.516335,183566.31908,174650.47925,2.287,0.015,SL,-1.0,-1.311,0.482,False,5,2,2025-07-04 02:00:00+00:00,2025-07-04 07:00:00+00:00,-0.0392,15.0,False,19.7
2025-07-08 16:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,5,15,4,4,1,1,1,188578.779441,D1_SUPPORT,190021.477817,186692.991647,197407.898379,2.219,0.0175,BE,0.693,-0.832,1.867,True,16,4,2025-07-08 17:00:00+00:00,2025-07-09 09:00:00+00:00,0.0177,5.0,False,9.1
2025-07-12 14:00:00+00:00,BTCUSD,LONG,continuation,50,25,2,2,1,9,4,4,1,1,1,197407.898379,D1_SUPPORT,198572.774332,195594.182717,208997.844985,3.5,0.015,SL,-0.531,-1.322,1.377,False,9,3,2025-07-12 17:00:00+00:00,2025-07-13 02:00:00+00:00,0.0574,22.0,False,28.3
2025-07-15 19:00:00+00:00,BTCUSD,SHORT,continuation,53,16,5,7,5,9,4,4,1,1,1,188467.936182,D1_RESISTANCE,184237.242677,190352.615544,171633.92137,2.061,0.0332,TP,1.159,-0.593,2.319,True,27,4,2025-07-15 22:00:00+00:00,2025-07-17 01:00:00+00:00,-0.0337,5.0,False,22.8
2025-07-17 14:00:00+00:00,BTCUSD,SHORT,continuation,63,25,5,7,0,15,4,4,1,1,1,181019.083367,D1_RESISTANCE,180160.695125,182876.685504,171781.10366,3.085,0.0151,TP,1.735,0.0,3.186,True,6,4,2025-07-17 15:00:00+00:00,2025-07-17 21:00:00+00:00,-0.0544,12.0,False,32.7
2025-02-14 12:00:00+00:00,ETHUSD,SHORT,continuation,51,8,5,10,3,15,4,3,1,1,1,2152.616741,H4_RESISTANCE,2145.853456,2178.041258,2059.369286,2.687,0.015,SL,-1.0,-1.56,0.199,False,2,2,2025-02-14 13:00:00+00:00,2025-02-14 15:00:00+00:00,0.0254,5.0,False,14.9
2025-03-10 04:00:00+00:00,ETHUSD,SHORT,continuation,60,16,5,7,5,15,4,5,1,1,1,2435.810548,D1_RESISTANCE,2441.670128,2478.479225,2353.347361,2.399,0.0151,SL,-1.0,-1.172,0.063,False,14,2,2025-03-10 05:00:00+00:00,2025-03-10 19:00:00+00:00,0.0026,5.0,False,41.3
2025-03-11 08:00:00+00:00,ETHUSD,LONG,continuation,52,8,5,10,5,12,4,5,1,1,1,2504.888447,H4_SUPPORT,2530.570447,2479.839563,2637.824292,2.114,0.02,TP,1.189,-0.749,2.33,True,26,4,2025-03-11 09:00:00+00:00,2025-03-12 11:00:00+00:00,0.0461,50.0,True,41.5
2025-03-21 08:00:00+00:00,ETHUSD,SHORT,continuation,52,8,5,7,5,15,4,5,1,1,1,2586.443332,H4_RESISTANCE,2578.633784,2617.313291,2443.25551,3.5,0.015,TP,1.969,-0.293,3.716,True,41,4,2025-03-21 09:00:00+00:00,2025-03-23 02:00:00+00:00,0.0232,25.0,False,13.7
2025-03-23 07:00:00+00:00,ETHUSD,SHORT,continuation,50,16,5,7,3,9,4,3,1,1,1,2502.48965,D1_RESISTANCE,2463.098454,2527.514547,2292.499855,2.648,0.0262,TP,1.49,-0.821,2.787,True,58,4,2025-03-23 08:00:00+00:00,2025-03-25 18:00:00+00:00,-0.0229,13.0,False,21.9
2025-03-25 19:00:00+00:00,ETHUSD,SHORT,continuation,54,16,0,7,5,15,4,4,1,1,1,2293.551841,H4_RESISTANCE,2294.219087,2376.880835,2112.739564,2.195,0.036,BE,0.686,-0.577,1.587,True,201,4,2025-03-25 20:00:00+00:00,2025-04-03 05:00:00+00:00,-0.083,0.0,False,31.1
2025-04-04 06:00:00+00:00,ETHUSD,LONG,continuation,54,16,0,7,5,15,4,4,1,1,1,2509.20092,H4_SUPPORT,2514.621182,2476.901864,2646.638794,3.5,0.015,TP,1.969,0.0,3.886,True,3,4,2025-04-04 07:00:00+00:00,2025-04-04 10:00:00+00:00,0.0527,0.0,False,32.7
2025-04-16 23:00:00+00:00,ETHUSD,LONG,continuation,52,16,2,2,5,15,4,5,1,1,1,2579.882358,H4_SUPPORT,2598.642785,2554.083534,2697.732501,2.224,0.0171,BE,0.695,-0.794,1.87,True,72,4,2025-04-17 01:00:00+00:00,2025-04-20 01:00:00+00:00,0.0258,25.0,False,22.1
2025-04-20 22:00:00+00:00,ETHUSD,LONG,continuation,51,25,2,0,3,12,4,2,1,1,1,2577.764423,H4_SUPPORT,2614.231009,2551.986779,2743.428653,2.076,0.0238,SL,-0.62,-1.179,0.884,False,45,3,2025-04-20 23:00:00+00:00,2025-04-22 20:00:00+00:00,0.0253,8.0,False,12.3
2025-04-24 05:00:00+00:00,ETHUSD,SHORT,continuation,58,25,0,7,5,9,4,5,1,1,1,2513.165478,D1_RESISTANCE,2505.518856,2543.290497,2373.318112,3.5,0.0151,SL,-1.0,-1.061,0.299,False,9,2,2025-04-24 09:00:00+00:00,2025-04-24 18:00:00+00:00,-0.0338,0.0,False,20.1
2025-04-25 23:00:00+00:00,ETHUSD,LONG,continuation,56,25,2,7,0,12,4,3,1,1,1,2578.248209,H4_SUPPORT,2615.134498,2552.465727,2744.682478,2.067,0.024,BE,0.646,-0.158,1.522,True,4,4,2025-04-26 00:00:00+00:00,2025-04-26 04:00:00+00:00,0.0223,24.0,False,24.2
2025-04-26 17:00:00+00:00,ETHUSD,LONG,continuation,60,25,2,10,1,12,4,3,1,1,1,2578.248209,H4_SUPPORT,2618.83953,2552.465727,2762.098402,2.158,0.0253,TP,1.214,-0.883,2.323,True,39,4,2025-04-26 18:00:00+00:00,2025-04-28 09:00:00+00:00,0.0222,0.0,False,27.7
2025-04-28 14:00:00+00:00,ETHUSD,LONG,continuation,54,25,2,7,0,9,4,4,1,1,1,2649.287681,H4_SUPPORT,2680.431131,2640.224664,2762.098402,2.031,0.015,TP,1.143,-0.737,2.088,True,4,4,2025-04-28 15:00:00+00:00,2025-04-28 19:00:00+00:00,0.0493,12.0,False,34.9
2025-05-24 12:00:00+00:00,ETHUSD,LONG,continuation,63,25,2,10,1,15,4,3,1,1,1,3001.404391,H4_SUPPORT,3006.624843,2924.300419,3175.617735,2.053,0.0274,SL,-1.0,-1.079,0.085,False,18,2,2025-05-24 14:00:00+00:00,2025-05-25 08:00:00+00:00,0.0315,12.0,False,11.7
2025-05-30 01:00:00+00:00,ETHUSD,SHORT,continuation,55,10,5,10,3,15,4,5,1,1,1,3001.404391,H4_RESISTANCE,2984.724612,3031.418435,2821.296233,3.5,0.0156,SL,-1.0,-1.207,0.593,False,17,2,2025-05-30 02:00:00+00:00,2025-05-30 19:00:00+00:00,0.0161,8.0,False,21.0
2025-05-31 00:00:00+00:00,ETHUSD,SHORT,continuation,51,10,5,7,5,15,4,2,1,1,1,2955.844572,H4_RESISTANCE,2953.726949,3031.418435,2762.098402,2.467,0.0263,SL,-1.0,-1.1,0.161,False,2,2,2025-05-31 02:00:00+00:00,2025-05-31 04:00:00+00:00,0.0043,0.0,False,16.5
2025-05-31 13:00:00+00:00,ETHUSD,LONG,continuation,50,25,2,0,1,15,4,0,1,1,1,2953.514741,H4_SUPPORT,2960.058814,2915.657932,3054.0689,2.117,0.015,BE,0.662,-0.258,1.278,True,4,4,2025-05-31 14:00:00+00:00,2025-05-31 18:00:00+00:00,0.0098,11.0,False,16.4
2025-06-07 07:00:00+00:00,ETHUSD,LONG,continuation,50,25,2,0,0,12,4,4,1,1,1,3212.771628,H4_SUPPORT,3253.862584,3180.643912,3404.854153,2.062,0.0225,TP,1.16,0.0,2.819,True,3,4,2025-06-07 08:00:00+00:00,2025-06-07 11:00:00+00:00,0.0724,32.0,False,26.9
2025-06-19 00:00:00+00:00,ETHUSD,SHORT,continuation,51,16,5,7,0,12,4,4,1,1,1,3176.466277,H4_RESISTANCE,3133.337577,3208.23094,2965.779727,2.237,0.0239,TP,1.258,-0.485,2.282,True,77,4,2025-06-19 01:00:00+00:00,2025-06-22 06:00:00+00:00,-0.0707,29.0,False,33.2
2025-06-22 07:00:00+00:00,ETHUSD,SHORT,continuation,54,25,0,7,3,9,4,3,1,1,1,3033.291342,H4_RESISTANCE,2975.351366,3063.624255,2762.098402,2.416,0.0297,TP,1.359,-0.277,2.57,True,117,4,2025-06-22 08:00:00+00:00,2025-06-27 05:00:00+00:00,-0.1033,8.0,False,47.0
2025-06-27 06:00:00+00:00,ETHUSD,SHORT,continuation,58,25,5,7,3,9,4,2,1,1,1,2835.237812,H4_RESISTANCE,2785.374875,2863.59019,2515.80788,3.446,0.0281,SL,-1.0,-1.224,0.567,False,20,2,2025-06-27 07:00:00+00:00,2025-06-28 03:00:00+00:00,-0.1314,8.0,False,49.8
2025-06-28 04:00:00+00:00,ETHUSD,SHORT,continuation,51,25,3,2,1,9,4,4,1,1,1,2900.860854,H4_RESISTANCE,2847.419567,2929.869463,2558.844934,3.5,0.029,BE,1.094,-0.107,3.215,True,165,4,2025-06-28 05:00:00+00:00,2025-07-05 02:00:00+00:00,-0.1053,57.0,True,44.2
2025-07-06 11:00:00+00:00,ETHUSD,SHORT,continuation,61,25,5,10,3,9,4,2,1,1,1,2834.502099,H4_RESISTANCE,2783.913281,2862.84712,2580.898357,2.572,0.0284,SL,-1.0,-1.154,0.356,False,12,2,2025-07-06 12:00:00+00:00,2025-07-07 00:00:00+00:00,-0.0772,0.0,False,25.2
2025-07-08 13:00:00+00:00,ETHUSD,LONG,continuation,51,10,5,7,3,15,4,4,1,1,1,2967.460655,H4_SUPPORT,2989.219079,2873.5547,3394.044406,3.5,0.0387,SL,-1.0,-1.009,0.663,False,79,2,2025-07-08 14:00:00+00:00,2025-07-11 21:00:00+00:00,-0.0015,5.0,False,31.2
2025-07-11 22:00:00+00:00,ETHUSD,SHORT,continuation,49,10,5,7,3,15,4,2,1,1,1,2902.638943,H4_RESISTANCE,2935.211494,2979.460914,2834.502099,2.276,0.0151,SL,-0.608,-1.101,1.049,False,46,3,2025-07-12 02:00:00+00:00,2025-07-14 00:00:00+00:00,-0.0336,10.0,False,30.1
2025-07-16 01:00:00+00:00,ETHUSD,SHORT,continuation,64,25,5,7,3,15,4,2,1,1,1,2947.809349,D1_RESISTANCE,2944.632482,2988.801969,2834.502099,2.493,0.015,BE,0.779,-0.923,1.716,True,60,4,2025-07-16 02:00:00+00:00,2025-07-18 14:00:00+00:00,-0.0179,0.0,False,14.5
