signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-14 18:00:00+00:00,BTCUSD,LONG,reversal,43,16,3,0,0,12,4,5,1,1,1,30983.25,CHOCH_BULL,30061.73817,29610.812097,31050.234286,2.192,0.015,BE,0.0,-0.214,0.842,False,63,2,2023-07-14 19:00:00+00:00,2023-07-17 10:00:00+00:00,0.0195,32.0,False,33.3
2023-07-19 03:00:00+00:00,BTCUSD,LONG,continuation,50,16,2,10,1,12,4,2,1,1,1,29705.486,D1_SUPPORT,29998.99178,29408.43114,31397.7,2.368,0.0197,SL,-1.0,-1.692,0.709,False,122,2,2023-07-19 07:00:00+00:00,2023-07-24 09:00:00+00:00,0.0132,43.0,True,36.6
2023-08-09 10:00:00+00:00,BTCUSD,LONG,continuation,54,16,5,7,1,15,4,3,1,1,1,29762.488333,D1_SUPPORT,29782.7651,29336.023624,31114.2425,2.98,0.015,SL,-1.0,-1.035,0.03,False,27,2,2023-08-09 14:00:00+00:00,2023-08-10 17:00:00+00:00,0.0139,44.0,True,22.8
2023-09-17 22:00:00+00:00,BTCUSD,SHORT,continuation,57,16,2,10,3,15,4,4,1,1,1,26681.272857,D1_RESISTANCE,26544.97398,26948.085586,25667.743571,2.176,0.0152,SL,-1.0,-1.598,0.253,False,10,2,2023-09-18 00:00:00+00:00,2023-09-18 10:00:00+00:00,-0.0055,5.0,False,28.9
2023-09-20 07:00:00+00:00,BTCUSD,LONG,continuation,54,25,2,7,1,9,4,3,1,1,1,26646.818333,D1_SUPPORT,27019.42299,26614.131645,28437.942697,3.5,0.015,SL,-1.0,-1.136,0.692,False,27,2,2023-09-20 09:00:00+00:00,2023-09-21 12:00:00+00:00,0.0157,12.0,False,29.8
2023-09-27 09:00:00+00:00,BTCUSD,SHORT,reversal,50,25,2,2,0,9,4,5,1,1,1,26377.7,CHOCH_BEAR,26424.18779,26820.550607,25506.614,2.315,0.015,SL,-1.0,-1.069,0.0,False,1,2,2023-09-27 10:00:00+00:00,2023-09-27 11:00:00+00:00,-0.0085,28.0,False,27.7
2023-09-29 00:00:00+00:00,BTCUSD,LONG,continuation,60,25,5,7,3,10,3,4,1,1,1,26750.55,D1_SUPPORT,26963.625964,26559.171574,28379.216327,3.5,0.015,BE,1.724,-0.738,2.724,True,68,2,2023-09-29 02:00:00+00:00,2023-10-01 22:00:00+00:00,0.0164,8.0,False,34.6
2023-10-04 11:00:00+00:00,BTCUSD,LONG,continuation,54,25,5,7,1,5,4,4,1,1,1,26750.55,D1_SUPPORT,27517.28514,26483.0445,29762.488333,2.171,0.0376,BE,0.0,-0.33,0.752,False,116,2,2023-10-04 13:00:00+00:00,2023-10-09 09:00:00+00:00,0.0272,3.0,False,27.7
2023-10-16 18:00:00+00:00,BTCUSD,LONG,continuation,60,25,0,7,5,12,3,5,1,1,1,28460.916,D1_SUPPORT,28300.04223,27875.541597,29762.488333,3.445,0.015,BE,0.607,-0.544,1.607,False,31,2,2023-10-16 21:00:00+00:00,2023-10-18 04:00:00+00:00,0.0542,0.0,False,33.0
2023-10-18 05:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,5,12,4,5,1,1,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29785.794447,3.5,0.015,BE,0.453,-0.47,1.453,False,32,2,2023-10-18 09:00:00+00:00,2023-10-19 17:00:00+00:00,0.055,5.0,False,52.0
2023-10-21 14:00:00+00:00,BTCUSD,LONG,continuation,60,25,0,7,1,15,4,5,1,1,1,29796.418571,D1_SUPPORT,29824.3318,29376.966823,31114.2425,2.883,0.015,BE,0.242,0.0,1.242,False,5,2,2023-10-21 15:00:00+00:00,2023-10-21 20:00:00+00:00,0.0857,4.0,False,60.5
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,67,25,5,7,3,15,4,5,1,1,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,BE,0.589,-0.633,1.589,True,26,2,2023-10-21 23:00:00+00:00,2023-10-23 01:00:00+00:00,0.0873,5.0,False,62.6
2023-12-29 22:00:00+00:00,BTCUSD,SHORT,continuation,51,10,5,7,5,12,4,5,1,1,1,42413.174444,H4_RESISTANCE,41844.54204,42837.306188,38369.86752,3.5,0.0237,SL,-1.0,-1.062,0.327,False,34,2,2023-12-29 23:00:00+00:00,2023-12-31 09:00:00+00:00,0.0063,0.0,False,20.1
2024-01-03 18:00:00+00:00,BTCUSD,SHORT,continuation,54,10,5,7,5,15,4,5,1,1,1,42413.174444,H4_RESISTANCE,42340.23144,43891.890675,38029.06,2.778,0.0366,SL,-1.0,-1.282,0.0,False,20,2,2024-01-03 19:00:00+00:00,2024-01-04 15:00:00+00:00,0.0067,35.0,True,29.3
2024-01-15 20:00:00+00:00,BTCUSD,LONG,continuation,49,8,2,10,5,15,4,2,1,1,1,42821.782,D1_SUPPORT,42874.08,42230.9688,44294.512222,2.209,0.015,SL,-1.0,-1.281,0.467,False,17,2,2024-01-15 21:00:00+00:00,2024-01-16 14:00:00+00:00,-0.0052,10.0,False,31.6
2024-01-19 03:00:00+00:00,BTCUSD,SHORT,continuation,54,16,5,7,3,12,4,4,1,1,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,BE,0.0,-0.419,0.761,False,8,2,2024-01-19 06:00:00+00:00,2024-01-19 14:00:00+00:00,-0.0466,0.0,False,39.1
2024-01-19 15:00:00+00:00,BTCUSD,SHORT,continuation,50,16,5,7,1,9,4,5,1,1,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-1.0,-1.415,0.0,False,2,2,2024-01-19 18:00:00+00:00,2024-01-19 20:00:00+00:00,-0.0491,4.0,False,42.2
2024-01-20 21:00:00+00:00,BTCUSD,SHORT,reversal,35,16,2,0,0,5,4,5,1,1,1,42200.69,CHOCH_BEAR,41775.58385,42618.8286,38824.227225,3.5,0.0202,BE,0.673,-0.125,1.673,False,39,2,2024-01-20 22:00:00+00:00,2024-01-22 13:00:00+00:00,-0.0275,33.0,False,37.3
2024-01-22 18:00:00+00:00,BTCUSD,SHORT,continuation,59,16,5,7,5,15,4,4,1,1,1,40448.7325,D1_RESISTANCE,40396.64202,41988.5684,34824.89969,3.5,0.0394,BE,0.157,0.0,1.157,False,29,2,2024-01-22 19:00:00+00:00,2024-01-24 00:00:00+00:00,-0.0571,0.0,False,30.7
2024-01-24 09:00:00+00:00,BTCUSD,SHORT,continuation,51,25,2,0,1,12,4,4,1,1,1,40448.7325,D1_RESISTANCE,40280.691963,40887.938575,38155.328819,3.5,0.0151,BE,0.312,-0.154,1.312,False,13,2,2024-01-24 10:00:00+00:00,2024-01-24 23:00:00+00:00,-0.0573,20.0,False,39.4
2024-01-27 20:00:00+00:00,BTCUSD,LONG,continuation,51,16,5,7,1,12,4,3,1,1,1,41572.84,D1_SUPPORT,41975.81014,41157.1116,44523.24,3.112,0.0195,BE,0.059,-0.068,1.059,False,18,2,2024-01-28 00:00:00+00:00,2024-01-28 18:00:00+00:00,-0.0021,9.0,False,29.8
2024-01-28 23:00:00+00:00,BTCUSD,LONG,continuation,51,16,2,10,1,12,4,3,1,1,1,41572.84,D1_SUPPORT,41946.99788,41157.1116,43788.692,2.332,0.0188,BE,0.0,-0.18,0.887,False,15,2,2024-01-29 00:00:00+00:00,2024-01-29 15:00:00+00:00,-0.0028,9.0,False,30.4
2024-01-29 16:00:00+00:00,BTCUSD,LONG,continuation,60,16,5,7,5,15,4,5,1,1,1,42825.265,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,BE,0.07,-0.471,1.07,False,20,2,2024-01-29 17:00:00+00:00,2024-01-30 13:00:00+00:00,0.0247,5.0,False,29.9
2024-01-31 06:00:00+00:00,BTCUSD,LONG,continuation,53,25,2,0,1,15,4,3,1,1,1,42821.782,D1_SUPPORT,42889.97814,42246.628468,44578.96,2.625,0.015,BE,0.0,-0.832,0.894,False,6,2,2024-01-31 09:00:00+00:00,2024-01-31 15:00:00+00:00,0.017,28.0,False,37.9
2024-01-31 16:00:00+00:00,BTCUSD,LONG,continuation,52,16,5,7,1,12,4,4,1,1,1,42821.782,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-1.0,-1.033,0.265,False,1,2,2024-01-31 19:00:00+00:00,2024-01-31 20:00:00+00:00,0.0282,8.0,False,33.9
2024-02-01 09:00:00+00:00,BTCUSD,SHORT,continuation,54,10,5,10,3,15,4,4,1,1,1,42625.75,D1_RESISTANCE,42232.60662,43052.0075,40448.7325,2.177,0.0194,SL,-1.0,-1.143,0.351,False,7,2,2024-02-01 10:00:00+00:00,2024-02-01 17:00:00+00:00,-0.0035,0.0,False,28.0
2024-02-02 02:00:00+00:00,BTCUSD,LONG,continuation,64,25,5,7,3,15,4,2,1,1,1,42821.782,D1_SUPPORT,42994.24918,42349.335442,44578.96,2.457,0.015,BE,0.0,-0.694,0.766,False,13,2,2024-02-02 04:00:00+00:00,2024-02-02 17:00:00+00:00,0.0181,16.0,False,24.2
2024-02-02 22:00:00+00:00,BTCUSD,LONG,continuation,60,25,5,7,1,15,4,0,1,1,1,42821.782,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-1.0,-1.493,0.295,False,47,2,2024-02-02 23:00:00+00:00,2024-02-04 22:00:00+00:00,0.02,7.0,False,20.8
2024-03-23 19:00:00+00:00,BTCUSD,LONG,continuation,56,16,2,10,3,15,4,3,1,1,1,64334.58,H4_SUPPORT,64743.1542,63691.2342,67169.077,2.306,0.0162,BE,0.124,-0.923,1.124,False,21,2,2024-03-23 20:00:00+00:00,2024-03-24 17:00:00+00:00,0.0347,5.0,False,22.9
2024-03-27 10:00:00+00:00,BTCUSD,LONG,continuation,57,25,5,7,1,9,4,3,1,1,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,BE,0.0,-0.173,0.995,False,1,2,2024-03-27 14:00:00+00:00,2024-03-27 15:00:00+00:00,0.1001,8.0,False,29.5
2024-03-28 00:00:00+00:00,BTCUSD,LONG,continuation,63,25,2,10,5,12,4,2,1,1,1,68736.889091,H4_SUPPORT,69047.844112,68012.126451,71605.232,2.469,0.015,BE,1.418,0.0,2.418,True,15,2,2024-03-28 02:00:00+00:00,2024-03-28 17:00:00+00:00,0.0895,23.0,False,31.5
2024-04-01 18:00:00+00:00,BTCUSD,SHORT,continuation,52,10,5,7,3,15,4,5,1,1,1,69212.405,D1_RESISTANCE,69064.9542,70100.928513,66595.254,2.384,0.015,BE,1.959,-0.806,2.959,True,7,2,2024-04-01 19:00:00+00:00,2024-04-02 02:00:00+00:00,0.053,5.0,False,28.7
2024-04-02 03:00:00+00:00,BTCUSD,SHORT,continuation,49,10,0,7,5,15,4,5,1,1,1,67169.077,H4_RESISTANCE,66837.37794,67840.76777,64563.386,2.266,0.015,BE,1.241,-0.282,2.241,True,10,2,2024-04-02 04:00:00+00:00,2024-04-02 14:00:00+00:00,0.0176,0.0,False,29.9
2024-04-02 23:00:00+00:00,BTCUSD,SHORT,continuation,49,10,5,7,1,15,4,4,1,1,1,65783.7325,H4_RESISTANCE,65594.91798,67840.76777,57734.443715,3.5,0.0342,SL,-1.0,-1.039,0.236,False,38,2,2024-04-03 00:00:00+00:00,2024-04-04 14:00:00+00:00,-0.0014,4.0,False,39.7
2024-04-05 15:00:00+00:00,BTCUSD,LONG,continuation,64,25,5,7,3,12,4,5,1,1,1,67159.533333,H4_SUPPORT,68054.23876,66487.938,71495.184,2.197,0.023,TP,2.197,-0.471,2.591,True,64,2,2024-04-05 16:00:00+00:00,2024-04-08 08:00:00+00:00,0.0373,0.0,False,32.5
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,7,3,15,4,5,1,1,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,BE,0.871,0.0,1.871,True,1,2,2024-04-14 02:00:00+00:00,2024-04-14 03:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-14 04:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,7,3,15,4,5,1,1,1,64300.254545,H4_RESISTANCE,64084.90398,66291.356428,56362.320413,3.5,0.0344,SL,-1.0,-1.121,0.685,False,25,2,2024-04-14 05:00:00+00:00,2024-04-15 06:00:00+00:00,-0.0461,5.0,False,34.9
2024-04-15 07:00:00+00:00,BTCUSD,LONG,continuation,51,16,2,2,5,15,4,4,1,1,1,65635.006364,H4_SUPPORT,66131.31232,63709.8228,71046.888,2.03,0.0366,SL,-1.0,-1.165,0.304,False,9,2,2024-04-15 08:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0095,27.0,False,42.8
