signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-20 14:00:00+00:00,BTCUSD,LONG,continuation,57,25,2,0,1,15,4,5,1,3,1,29705.486,D1_SUPPORT,29722.62562,29276.786236,30968.434286,2.794,0.015,BE,0.619,-0.34,1.407,True,84,3,2023-07-20 15:00:00+00:00,2023-07-24 03:00:00+00:00,0.0029,40.0,False,33.9
2023-09-17 00:00:00+00:00,BTCUSD,SHORT,continuation,61,16,2,10,1,15,4,5,4,3,1,26681.272857,D1_RESISTANCE,26521.60734,26948.085586,25666.894667,2.004,0.0161,SL,-1.075,-1.565,0.338,False,32,2,2023-09-17 02:00:00+00:00,2023-09-18 10:00:00+00:00,-0.0066,5.0,False,31.7
2023-10-04 11:00:00+00:00,BTCUSD,LONG,continuation,56,25,5,7,1,5,4,4,1,3,1,26750.55,D1_SUPPORT,27517.28514,26483.0445,29762.488333,2.171,0.0376,TIMEOUT,-0.621,-0.946,0.752,False,240,2,2023-10-04 13:00:00+00:00,2023-10-14 13:00:00+00:00,0.0272,3.0,False,27.7
2023-10-18 06:00:00+00:00,BTCUSD,LONG,continuation,74,25,5,7,5,15,4,5,4,3,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29785.794447,3.5,0.015,TP,2.545,-0.47,3.64,True,47,3,2023-10-18 09:00:00+00:00,2023-10-20 08:00:00+00:00,0.0539,11.0,False,52.0
2024-01-16 09:00:00+00:00,BTCUSD,LONG,continuation,56,16,2,10,5,15,4,0,0,3,1,42821.782,D1_SUPPORT,42854.12998,42211.31803,44294.512222,2.241,0.015,SL,-1.08,-1.251,0.498,False,4,2,2024-01-16 10:00:00+00:00,2024-01-16 14:00:00+00:00,-0.0054,10.0,False,31.4
2024-01-25 07:00:00+00:00,BTCUSD,SHORT,continuation,64,25,2,2,1,15,4,3,8,3,1,40469.986,D1_RESISTANCE,40288.640078,40896.006512,38162.857562,3.5,0.0151,SL,-1.08,-1.744,1.216,False,24,2,2024-01-25 11:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0517,20.0,False,33.6
2024-03-23 20:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,3,15,4,3,0,3,1,64334.58,H4_SUPPORT,64879.76044,63691.2342,68055.702,2.672,0.0183,TP,1.939,-0.932,3.845,True,41,3,2024-03-23 21:00:00+00:00,2024-03-25 14:00:00+00:00,0.0369,5.0,False,22.9
2024-04-01 11:00:00+00:00,BTCUSD,LONG,continuation,63,25,3,10,1,15,4,0,1,3,1,69212.405,D1_SUPPORT,69321.08998,68281.27363,71495.184,2.091,0.015,SL,-1.08,-1.115,0.0,False,1,2,2024-04-01 14:00:00+00:00,2024-04-01 15:00:00+00:00,0.0616,52.0,True,29.2
2024-04-04 20:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,10,3,15,4,4,1,3,1,67144.945455,H4_SUPPORT,67795.39748,66473.496,70523.325,2.064,0.0195,SL,-1.062,-1.071,0.727,False,8,2,2024-04-04 21:00:00+00:00,2024-04-05 05:00:00+00:00,0.0349,40.0,True,44.3
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.724,-0.3,2.787,True,49,3,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-15 13:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,3,15,4,0,1,3,1,65635.006364,H4_SUPPORT,65734.03846,63709.8228,71046.888,2.625,0.0308,SL,-1.039,-1.197,0.0,False,3,2,2024-04-15 14:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0154,17.0,False,42.2
2024-04-19 18:00:00+00:00,BTCUSD,SHORT,continuation,60,16,2,10,5,15,4,0,4,3,1,64285.79,D1_RESISTANCE,64371.4454,65341.8692,62307.964167,2.126,0.0151,BE,0.452,-0.607,1.461,True,20,3,2024-04-19 19:00:00+00:00,2024-04-20 15:00:00+00:00,-0.0276,23.0,False,38.5
2024-04-25 12:00:00+00:00,BTCUSD,SHORT,continuation,60,16,5,7,3,12,4,5,4,3,1,64158.0325,D1_RESISTANCE,64306.426415,65275.870029,62307.964167,2.061,0.0151,SL,-1.08,-1.023,0.0,False,5,2,2024-04-25 16:00:00+00:00,2024-04-25 21:00:00+00:00,-0.036,0.0,False,20.8
2024-04-26 10:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,7,3,15,4,0,4,3,1,64788.357857,H4_RESISTANCE,64306.426415,65275.870029,60913.373765,3.5,0.0151,BE,0.795,-0.53,1.976,True,39,3,2024-04-26 12:00:00+00:00,2024-04-28 03:00:00+00:00,-0.0248,0.0,False,20.7
2024-05-08 00:00:00+00:00,BTCUSD,SHORT,continuation,61,16,5,10,3,15,4,0,4,3,1,62595.908333,D1_RESISTANCE,62711.18202,65087.64816,54393.55053,3.5,0.0379,SL,-1.032,-1.026,1.062,False,183,2,2024-05-08 01:00:00+00:00,2024-05-15 16:00:00+00:00,-0.0215,25.0,False,28.8
2024-06-09 17:00:00+00:00,BTCUSD,LONG,continuation,62,16,2,10,5,15,4,5,1,3,1,69011.145714,D1_SUPPORT,69616.63341,68572.383909,72135.8875,2.413,0.015,SL,-1.08,-1.069,0.555,False,31,2,2024-06-09 18:00:00+00:00,2024-06-11 01:00:00+00:00,0.0287,18.0,False,28.5
2024-06-12 14:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,5,12,4,5,0,3,1,68985.0,D1_SUPPORT,69603.838664,68559.781084,72135.8875,2.425,0.015,SL,-1.08,-2.255,0.248,False,4,2,2024-06-12 15:00:00+00:00,2024-06-12 19:00:00+00:00,0.0313,43.0,True,32.5
