signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-22 02:00:00+00:00,BTCUSD,LONG,continuation,59,16,2,10,3,15,4,4,1,3,1,29705.486,D1_SUPPORT,29875.60904,29408.43114,31114.2425,2.651,0.0156,SL,-1.077,-1.874,1.015,False,53,2,2023-07-22 04:00:00+00:00,2023-07-24 09:00:00+00:00,0.0077,5.0,False,29.5
2023-08-09 10:00:00+00:00,BTCUSD,LONG,continuation,56,16,5,7,1,15,4,0,4,3,1,29762.488333,D1_SUPPORT,29782.7651,29336.023624,31114.2425,2.98,0.015,SL,-1.08,-1.035,0.03,False,27,2,2023-08-09 14:00:00+00:00,2023-08-10 17:00:00+00:00,0.0139,44.0,True,22.8
2023-09-17 22:00:00+00:00,BTCUSD,SHORT,continuation,62,16,2,10,3,15,4,4,4,3,1,26681.272857,D1_RESISTANCE,26544.97398,26948.085586,25667.743571,2.176,0.0152,SL,-1.079,-1.598,0.253,False,10,2,2023-09-18 00:00:00+00:00,2023-09-18 10:00:00+00:00,-0.0055,5.0,False,28.9
2023-09-20 07:00:00+00:00,BTCUSD,LONG,continuation,56,25,2,7,1,9,4,0,4,3,1,26646.818333,D1_SUPPORT,27019.42299,26614.131645,28437.942697,3.5,0.015,SL,-1.08,-1.136,0.692,False,27,2,2023-09-20 09:00:00+00:00,2023-09-21 12:00:00+00:00,0.0157,12.0,False,29.8
2023-09-29 05:00:00+00:00,BTCUSD,LONG,continuation,58,25,5,7,0,10,3,0,4,3,1,26750.55,D1_SUPPORT,26963.625964,26559.171574,28379.216327,3.5,0.015,TP,2.545,-0.738,3.626,True,73,3,2023-09-29 06:00:00+00:00,2023-10-02 07:00:00+00:00,0.0129,12.0,False,36.3
2023-10-18 08:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,0,15,4,5,4,3,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29785.794447,3.5,0.015,TP,2.545,-0.47,3.64,True,47,3,2023-10-18 09:00:00+00:00,2023-10-20 08:00:00+00:00,0.0495,27.0,False,53.1
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,72,25,5,7,3,15,4,5,4,3,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,TP,1.908,-0.633,3.04,True,41,3,2023-10-21 23:00:00+00:00,2023-10-23 16:00:00+00:00,0.0873,5.0,False,62.6
2024-01-16 09:00:00+00:00,BTCUSD,LONG,continuation,56,16,2,10,5,15,4,0,0,3,1,42821.782,D1_SUPPORT,42854.12998,42211.31803,44294.512222,2.241,0.015,SL,-1.08,-1.251,0.498,False,4,2,2024-01-16 10:00:00+00:00,2024-01-16 14:00:00+00:00,-0.0054,10.0,False,31.4
2024-01-19 15:00:00+00:00,BTCUSD,SHORT,continuation,59,16,5,7,1,9,4,5,8,3,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-1.08,-1.415,0.0,False,2,2,2024-01-19 18:00:00+00:00,2024-01-19 20:00:00+00:00,-0.0491,4.0,False,42.2
2024-01-22 05:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,12,4,4,8,3,1,41572.84,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,TP,2.545,0.0,3.866,True,27,3,2024-01-22 06:00:00+00:00,2024-01-23 09:00:00+00:00,-0.0392,18.0,False,28.6
2024-01-24 06:00:00+00:00,BTCUSD,SHORT,continuation,66,25,2,10,1,12,4,0,8,3,1,40448.7325,D1_RESISTANCE,40280.691963,40887.938575,38155.328819,3.5,0.0151,SL,-1.08,-1.758,1.312,False,49,2,2024-01-24 10:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0611,16.0,False,40.2
2024-01-29 16:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,42825.265,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-1.08,-1.244,1.07,False,41,2,2024-01-29 17:00:00+00:00,2024-01-31 10:00:00+00:00,0.0247,5.0,False,29.9
2024-01-31 19:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,3,15,4,4,1,3,1,42821.782,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-1.08,-1.408,0.0,False,1,2,2024-01-31 20:00:00+00:00,2024-01-31 21:00:00+00:00,0.0246,31.0,False,33.3
2024-02-02 06:00:00+00:00,BTCUSD,LONG,continuation,64,25,5,7,3,15,4,0,1,3,1,42821.782,D1_SUPPORT,43078.67,42393.56418,44578.96,2.19,0.0159,SL,-1.075,-1.25,0.597,False,62,2,2024-02-02 08:00:00+00:00,2024-02-04 22:00:00+00:00,0.0199,27.0,False,23.9
2024-03-27 11:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,BE,0.527,-0.665,2.418,True,49,3,2024-03-27 14:00:00+00:00,2024-03-29 15:00:00+00:00,0.1007,0.0,False,29.4
2024-04-04 20:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,10,3,15,4,4,1,3,1,67144.945455,H4_SUPPORT,67795.39748,66473.496,70523.325,2.064,0.0195,SL,-1.062,-1.071,0.727,False,8,2,2024-04-04 21:00:00+00:00,2024-04-05 05:00:00+00:00,0.0349,40.0,True,44.3
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.724,-0.3,2.787,True,49,3,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,15,4,5,4,3,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,BE,0.694,-0.248,1.871,True,2,3,2024-04-14 02:00:00+00:00,2024-04-14 04:00:00+00:00,-0.0498,5.0,False,32.3
