signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-20 14:00:00+00:00,BTCUSD,LONG,continuation,57,25,2,0,1,15,4,5,1,3,1,29705.486,D1_SUPPORT,29722.62562,29276.786236,30968.434286,2.794,0.015,SL,-0.056,-1.621,1.407,True,90,4,2023-07-20 15:00:00+00:00,2023-07-24 09:00:00+00:00,0.0029,40.0,False,33.9
2023-08-09 10:00:00+00:00,BTCUSD,LONG,continuation,56,16,5,7,1,15,4,0,4,3,1,29762.488333,D1_SUPPORT,29782.7651,29336.023624,31114.2425,2.98,0.015,SL,-1.08,-1.035,0.03,False,27,2,2023-08-09 14:00:00+00:00,2023-08-10 17:00:00+00:00,0.0139,44.0,True,22.8
2023-09-17 22:00:00+00:00,BTCUSD,SHORT,continuation,62,16,2,10,3,15,4,4,4,3,1,26681.272857,D1_RESISTANCE,26544.97398,26948.085586,25667.743571,2.176,0.0152,SL,-1.079,-1.598,0.253,False,10,2,2023-09-18 00:00:00+00:00,2023-09-18 10:00:00+00:00,-0.0055,5.0,False,28.9
2023-09-20 03:00:00+00:00,BTCUSD,LONG,continuation,55,25,2,7,0,9,4,0,4,3,1,26646.818333,D1_SUPPORT,27019.42299,26614.131645,28437.942697,3.5,0.015,SL,-1.08,-1.136,0.692,False,31,2,2023-09-20 05:00:00+00:00,2023-09-21 12:00:00+00:00,0.0164,18.0,False,30.0
2023-09-29 01:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,3,10,3,4,4,3,1,26750.55,D1_SUPPORT,26963.625964,26559.171574,28379.216327,3.5,0.015,TP,2.107,-0.738,3.626,True,77,5,2023-09-29 02:00:00+00:00,2023-10-02 07:00:00+00:00,0.0156,13.0,False,34.6
2023-10-18 08:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,0,15,4,5,4,3,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29785.794447,3.5,0.015,TP,2.108,-0.47,3.64,True,47,5,2023-10-18 09:00:00+00:00,2023-10-20 08:00:00+00:00,0.0495,27.0,False,53.1
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,72,25,5,7,3,15,4,5,4,3,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,TP,1.577,-0.633,3.04,True,41,5,2023-10-21 23:00:00+00:00,2023-10-23 16:00:00+00:00,0.0873,5.0,False,62.6
2023-12-18 21:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,42447.092857,H4_SUPPORT,42534.75002,41896.72877,44037.325556,2.355,0.015,SL,-0.138,-1.097,1.508,True,19,4,2023-12-18 22:00:00+00:00,2023-12-19 17:00:00+00:00,0.0664,43.0,True,31.8
2024-01-15 02:00:00+00:00,BTCUSD,SHORT,continuation,58,8,5,7,3,15,4,4,8,3,1,42821.782,D1_RESISTANCE,42484.51944,43249.99982,39805.33811,3.5,0.018,SL,-1.067,-1.197,0.42,False,15,2,2024-01-15 03:00:00+00:00,2024-01-15 18:00:00+00:00,-0.0188,10.0,False,27.9
2024-01-19 03:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,12,4,4,8,3,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-0.611,-1.066,1.662,False,12,3,2024-01-19 06:00:00+00:00,2024-01-19 18:00:00+00:00,-0.0466,0.0,False,39.1
2024-01-22 03:00:00+00:00,BTCUSD,SHORT,continuation,67,16,5,7,5,15,4,3,8,3,1,41572.84,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,TP,2.108,0.0,3.866,True,27,5,2024-01-22 06:00:00+00:00,2024-01-23 09:00:00+00:00,-0.0378,13.0,False,28.6
2024-01-24 06:00:00+00:00,BTCUSD,SHORT,continuation,66,25,2,10,1,12,4,0,8,3,1,40448.7325,D1_RESISTANCE,40280.691963,40887.938575,38155.328819,3.5,0.0151,SL,-0.611,-1.758,1.312,False,49,3,2024-01-24 10:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0611,16.0,False,40.2
2024-01-28 04:00:00+00:00,BTCUSD,LONG,continuation,56,16,0,7,5,15,4,4,1,3,1,42619.746,D1_SUPPORT,42634.87936,41995.35617,44523.24,2.953,0.015,SL,-1.08,-1.117,0.099,False,13,2,2024-01-28 05:00:00+00:00,2024-01-28 18:00:00+00:00,0.0136,5.0,False,30.2
2024-01-29 23:00:00+00:00,BTCUSD,LONG,continuation,64,25,0,7,3,15,4,5,1,3,1,42821.782,D1_SUPPORT,43189.160194,42541.322791,44523.24,2.059,0.015,SL,-0.194,-1.244,1.07,True,34,4,2024-01-30 00:00:00+00:00,2024-01-31 10:00:00+00:00,0.0267,0.0,False,32.2
2024-02-01 19:00:00+00:00,BTCUSD,LONG,continuation,54,16,5,7,5,12,4,0,1,3,1,42625.75,D1_SUPPORT,43189.160194,42541.322791,44523.24,2.059,0.015,SL,-1.08,-1.493,0.461,False,74,2,2024-02-01 20:00:00+00:00,2024-02-04 22:00:00+00:00,0.0216,18.0,False,24.8
2024-03-22 03:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,1,15,4,3,0,3,1,65758.694286,H4_SUPPORT,65850.02602,64862.27563,68055.702,2.233,0.015,SL,-0.69,-1.326,0.81,False,6,3,2024-03-22 04:00:00+00:00,2024-03-22 10:00:00+00:00,0.0557,15.0,False,23.6
2024-03-23 11:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,1,15,4,3,0,3,1,64392.642222,H4_SUPPORT,64500.36076,63532.855349,66731.79875,2.306,0.015,TP,1.361,-0.753,2.584,True,33,5,2024-03-23 13:00:00+00:00,2024-03-24 22:00:00+00:00,0.0316,8.0,False,24.6
2024-03-27 11:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,SL,0.581,-2.943,2.418,True,132,5,2024-03-27 14:00:00+00:00,2024-04-02 02:00:00+00:00,0.1007,0.0,False,29.4
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,65,25,2,10,0,15,4,4,1,3,1,67159.533333,H4_SUPPORT,67728.26202,66487.938,70523.325,2.253,0.0183,SL,-1.066,-1.087,0.018,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-05 18:00:00+00:00,BTCUSD,LONG,continuation,59,25,2,0,3,15,4,5,1,3,1,67159.533333,H4_SUPPORT,67493.76196,66481.355531,70871.764,3.337,0.015,TP,2.005,-0.15,4.562,True,61,5,2024-04-05 19:00:00+00:00,2024-04-08 08:00:00+00:00,0.0288,8.0,False,32.5
2024-04-10 01:00:00+00:00,BTCUSD,LONG,continuation,69,25,3,10,3,15,4,4,1,3,1,68770.0,D1_SUPPORT,69131.2105,68082.3,71453.515,2.214,0.0152,SL,-1.079,-1.498,0.366,False,10,2,2024-04-10 02:00:00+00:00,2024-04-10 12:00:00+00:00,0.0398,3.0,False,33.0
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,15,4,5,4,3,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,SL,0.0,-1.584,1.871,True,20,4,2024-04-14 02:00:00+00:00,2024-04-14 22:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-15 11:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,3,15,4,0,1,3,1,65635.006364,H4_SUPPORT,65728.39976,64742.473764,68298.225714,2.607,0.015,SL,-1.08,-1.566,0.252,False,1,2,2024-04-15 13:00:00+00:00,2024-04-15 14:00:00+00:00,-0.0154,17.0,False,42.2
2024-04-16 15:00:00+00:00,BTCUSD,SHORT,continuation,68,16,5,7,5,15,4,4,8,3,1,62384.624444,H4_RESISTANCE,61885.7244,63008.470688,57956.11239,3.5,0.0181,SL,-1.066,-1.243,0.0,False,1,2,2024-04-16 16:00:00+00:00,2024-04-16 17:00:00+00:00,-0.0733,6.0,False,46.4
2024-04-16 18:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,0,15,4,4,8,3,1,63760.566667,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,TP,1.854,-0.583,3.316,True,17,5,2024-04-16 21:00:00+00:00,2024-04-17 14:00:00+00:00,-0.0546,10.0,False,46.4
2024-04-17 15:00:00+00:00,BTCUSD,SHORT,continuation,60,16,0,7,5,15,4,5,4,3,1,60955.181429,H4_RESISTANCE,60578.229287,61491.468925,57381.890556,3.5,0.0151,SL,-1.08,-1.509,0.503,False,2,2,2024-04-17 16:00:00+00:00,2024-04-17 18:00:00+00:00,-0.0921,0.0,False,46.1
2024-04-19 03:00:00+00:00,BTCUSD,SHORT,continuation,60,16,5,7,1,15,4,4,4,3,1,62307.964167,H4_RESISTANCE,61908.71028,62931.043809,58330.54293,3.5,0.0165,SL,-1.073,-2.979,0.165,False,2,2,2024-04-19 04:00:00+00:00,2024-04-19 06:00:00+00:00,-0.0648,8.0,False,42.3
2024-04-21 03:00:00+00:00,BTCUSD,LONG,continuation,60,16,5,7,3,15,4,5,1,3,1,64903.755,H4_SUPPORT,65039.66,64064.0651,68337.453333,3.38,0.015,SL,0.054,-1.336,2.248,True,87,4,2024-04-21 04:00:00+00:00,2024-04-24 19:00:00+00:00,-0.0108,10.0,False,30.1
