signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-20 14:00:00+00:00,BTCUSD,LONG,continuation,57,25,2,0,1,15,4,5,1,3,1,29705.486,D1_SUPPORT,29722.62562,29276.786236,30968.434286,2.794,0.015,SL,-0.056,-1.621,1.407,True,90,4,2023-07-20 15:00:00+00:00,2023-07-24 09:00:00+00:00,0.0029,40.0,False,33.9
2023-08-09 10:00:00+00:00,BTCUSD,LONG,continuation,56,16,5,7,1,15,4,0,4,3,1,29762.488333,D1_SUPPORT,29782.7651,29336.023624,31114.2425,2.98,0.015,SL,-1.08,-1.035,0.03,False,27,2,2023-08-09 14:00:00+00:00,2023-08-10 17:00:00+00:00,0.0139,44.0,True,22.8
2023-09-20 02:00:00+00:00,BTCUSD,LONG,continuation,58,25,5,7,0,9,4,0,4,3,1,26646.818333,D1_SUPPORT,27019.42299,26614.131645,28437.942697,3.5,0.015,SL,-1.08,-1.136,0.692,False,31,2,2023-09-20 05:00:00+00:00,2023-09-21 12:00:00+00:00,0.0182,18.0,False,29.4
2023-09-29 01:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,3,10,3,4,4,3,1,26750.55,D1_SUPPORT,26963.625964,26559.171574,28379.216327,3.5,0.015,TP,2.107,-0.738,3.626,True,77,5,2023-09-29 02:00:00+00:00,2023-10-02 07:00:00+00:00,0.0156,13.0,False,34.6
2023-10-18 08:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,0,15,4,5,4,3,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29785.794447,3.5,0.015,TP,2.108,-0.47,3.64,True,47,5,2023-10-18 09:00:00+00:00,2023-10-20 08:00:00+00:00,0.0495,27.0,False,53.1
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,72,25,5,7,3,15,4,5,4,3,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,TP,1.577,-0.633,3.04,True,41,5,2023-10-21 23:00:00+00:00,2023-10-23 16:00:00+00:00,0.0873,5.0,False,62.6
2023-12-18 21:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,42447.092857,H4_SUPPORT,42534.75002,41896.72877,44037.325556,2.355,0.015,SL,-0.138,-1.097,1.508,True,19,4,2023-12-18 22:00:00+00:00,2023-12-19 17:00:00+00:00,0.0664,43.0,True,31.8
2024-01-27 06:00:00+00:00,BTCUSD,LONG,continuation,54,16,5,7,0,15,4,2,1,3,1,41572.84,D1_SUPPORT,41620.63192,40996.322441,42939.451111,2.112,0.015,TP,1.24,-0.362,2.712,True,57,5,2024-01-27 07:00:00+00:00,2024-01-29 16:00:00+00:00,-0.0108,32.0,False,31.1
2024-01-29 17:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,42825.265,D1_SUPPORT,42910.57686,42266.918207,44578.96,2.592,0.015,SL,-0.094,-1.072,1.51,True,54,4,2024-01-29 18:00:00+00:00,2024-02-01 00:00:00+00:00,0.0199,10.0,False,29.9
2024-02-01 17:00:00+00:00,BTCUSD,LONG,continuation,58,16,2,7,5,15,4,4,1,3,1,42625.75,D1_SUPPORT,42838.152,42195.57972,44523.24,2.622,0.015,TP,1.559,-0.959,2.895,True,150,5,2024-02-01 18:00:00+00:00,2024-02-08 00:00:00+00:00,0.0148,18.0,False,25.4
2024-03-23 21:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,3,15,4,3,0,3,1,64334.58,H4_SUPPORT,64814.80062,63691.2342,67169.077,2.095,0.0173,TP,1.24,-0.928,2.504,True,25,5,2024-03-23 22:00:00+00:00,2024-03-24 23:00:00+00:00,0.0359,5.0,False,22.9
2024-03-27 12:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,SL,0.581,-2.943,2.418,True,132,5,2024-03-27 14:00:00+00:00,2024-04-02 02:00:00+00:00,0.1001,0.0,False,29.4
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,65,25,2,10,0,15,4,4,1,3,1,67159.533333,H4_SUPPORT,67728.26202,66487.938,70523.325,2.253,0.0183,SL,-1.066,-1.087,0.018,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-05 18:00:00+00:00,BTCUSD,LONG,continuation,59,25,2,0,3,15,4,5,1,3,1,67159.533333,H4_SUPPORT,67493.76196,66481.355531,70871.764,3.337,0.015,TP,2.005,-0.15,4.562,True,61,5,2024-04-05 19:00:00+00:00,2024-04-08 08:00:00+00:00,0.0288,8.0,False,32.5
2024-04-10 01:00:00+00:00,BTCUSD,LONG,continuation,69,25,3,10,3,15,4,4,1,3,1,68770.0,D1_SUPPORT,69131.2105,68082.3,71453.515,2.214,0.0152,SL,-1.079,-1.498,0.366,False,10,2,2024-04-10 02:00:00+00:00,2024-04-10 12:00:00+00:00,0.0398,3.0,False,33.0
2024-04-15 13:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,3,15,4,0,1,3,1,65635.006364,H4_SUPPORT,65734.03846,64748.027883,68298.225714,2.601,0.015,SL,-1.08,-1.951,0.0,False,1,2,2024-04-15 14:00:00+00:00,2024-04-15 15:00:00+00:00,-0.0154,17.0,False,42.2
2024-04-21 04:00:00+00:00,BTCUSD,LONG,continuation,60,16,5,7,3,15,4,5,1,3,1,64903.755,H4_SUPPORT,64925.888,63951.99968,68334.49712,3.5,0.015,SL,0.076,-1.221,2.368,True,84,4,2024-04-21 07:00:00+00:00,2024-04-24 19:00:00+00:00,-0.0126,10.0,False,30.1
2024-05-06 08:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,5,12,4,5,1,3,1,64477.013333,D1_SUPPORT,65012.75392,63832.2432,68882.0,3.278,0.0182,SL,-1.066,-1.414,0.0,False,2,2,2024-05-06 10:00:00+00:00,2024-05-06 12:00:00+00:00,0.0175,5.0,False,33.0
2024-05-16 13:00:00+00:00,BTCUSD,LONG,continuation,65,25,0,7,1,15,4,5,4,3,1,65836.68,D1_SUPPORT,65039.968935,64064.369401,67160.595,2.174,0.015,TP,1.279,-0.214,2.472,True,22,5,2024-05-16 17:00:00+00:00,2024-05-17 15:00:00+00:00,0.047,4.0,False,29.5
2024-05-17 16:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,3,12,4,5,1,3,1,65913.6425,D1_SUPPORT,66796.13002,65254.506075,71604.535,3.119,0.0231,TP,1.897,-0.609,3.362,True,79,5,2024-05-17 17:00:00+00:00,2024-05-21 00:00:00+00:00,0.0535,5.0,False,31.9
2024-05-23 17:00:00+00:00,BTCUSD,LONG,continuation,62,25,3,10,0,15,4,0,1,3,1,67160.595,D1_SUPPORT,67522.775317,66509.933687,71067.721021,3.5,0.015,SL,-1.08,-1.195,0.424,False,2,2,2024-05-23 18:00:00+00:00,2024-05-23 20:00:00+00:00,0.0395,7.0,False,31.1
2024-05-24 05:00:00+00:00,BTCUSD,LONG,continuation,59,25,3,0,3,15,4,4,1,3,1,67160.595,D1_SUPPORT,67165.39002,66157.90917,70691.572996,3.5,0.015,TIMEOUT,1.697,-0.561,3.496,True,240,5,2024-05-24 06:00:00+00:00,2024-06-03 06:00:00+00:00,0.033,12.0,False,30.5
2024-06-09 19:00:00+00:00,BTCUSD,LONG,continuation,69,25,2,10,3,15,4,5,1,3,1,69011.145714,D1_SUPPORT,69616.63341,68572.383909,72135.8875,2.413,0.015,SL,-1.08,-1.069,0.555,False,29,2,2024-06-09 20:00:00+00:00,2024-06-11 01:00:00+00:00,0.0291,18.0,False,27.0
2024-06-12 14:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,5,12,4,5,0,3,1,68985.0,D1_SUPPORT,69603.838664,68559.781084,72135.8875,2.425,0.015,SL,-1.08,-2.255,0.248,False,4,2,2024-06-12 15:00:00+00:00,2024-06-12 19:00:00+00:00,0.0313,43.0,True,32.5
2024-07-16 00:00:00+00:00,BTCUSD,LONG,continuation,69,25,0,7,5,15,4,5,4,3,1,64457.315556,D1_SUPPORT,64482.21712,63514.983863,67177.64,2.787,0.015,SL,-1.08,-1.052,0.529,False,4,2,2024-07-16 01:00:00+00:00,2024-07-16 05:00:00+00:00,0.0543,10.0,False,37.2
2024-07-16 18:00:00+00:00,BTCUSD,LONG,continuation,74,25,5,7,5,15,4,5,4,3,1,64457.315556,D1_SUPPORT,64674.18545,63704.072668,67177.64,2.581,0.015,SL,-0.096,-1.003,1.499,True,43,4,2024-07-16 19:00:00+00:00,2024-07-18 14:00:00+00:00,0.0555,6.0,False,37.6
2024-07-18 15:00:00+00:00,BTCUSD,LONG,continuation,54,25,3,2,0,15,4,0,1,3,1,62832.043333,D1_SUPPORT,63411.04376,62203.7229,66068.41125,2.201,0.019,TP,1.313,-0.143,2.567,True,24,5,2024-07-18 16:00:00+00:00,2024-07-19 16:00:00+00:00,0.0286,28.0,False,30.5
2024-07-19 17:00:00+00:00,BTCUSD,LONG,continuation,65,25,0,7,5,15,4,4,1,3,1,66068.41125,D1_SUPPORT,66621.90916,65407.727138,70669.69,3.334,0.0182,SL,-0.607,-1.229,1.526,False,123,3,2024-07-19 18:00:00+00:00,2024-07-24 21:00:00+00:00,0.0781,3.0,False,23.1
2024-07-26 02:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,66068.41125,D1_SUPPORT,66879.98198,65407.727138,70669.69,2.574,0.022,SL,0.661,-1.071,2.174,True,111,5,2024-07-26 05:00:00+00:00,2024-07-30 20:00:00+00:00,0.0584,3.0,False,20.9
