signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-22 02:00:00+00:00,BTCUSD,LONG,continuation,59,16,2,10,3,15,4,4,1,3,1,29705.486,D1_SUPPORT,29875.60904,29408.43114,31114.2425,2.651,0.0156,SL,-0.661,-1.874,1.015,False,53,3,2023-07-22 04:00:00+00:00,2023-07-24 09:00:00+00:00,0.0077,5.0,False,29.5
2023-09-17 22:00:00+00:00,BTCUSD,SHORT,continuation,62,16,2,10,3,15,4,4,4,3,1,26681.272857,D1_RESISTANCE,26544.97398,26948.085586,25667.743571,2.176,0.0152,SL,-1.079,-1.598,0.253,False,10,2,2023-09-18 00:00:00+00:00,2023-09-18 10:00:00+00:00,-0.0055,5.0,False,28.9
2023-09-20 07:00:00+00:00,BTCUSD,LONG,continuation,56,25,2,7,1,9,4,0,4,3,1,26646.818333,D1_SUPPORT,27019.42299,26614.131645,28437.942697,3.5,0.015,SL,-1.08,-1.136,0.692,False,27,2,2023-09-20 09:00:00+00:00,2023-09-21 12:00:00+00:00,0.0157,12.0,False,29.8
2023-09-29 01:00:00+00:00,BTCUSD,LONG,continuation,65,25,5,7,3,10,3,4,4,3,1,26750.55,D1_SUPPORT,26963.625964,26559.171574,28379.216327,3.5,0.015,TP,2.107,-0.738,3.626,True,77,5,2023-09-29 02:00:00+00:00,2023-10-02 07:00:00+00:00,0.0156,13.0,False,34.6
2023-10-04 12:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,10,1,5,4,4,1,3,1,26750.55,D1_SUPPORT,27514.87996,26483.0445,29762.488333,2.178,0.0375,TIMEOUT,-0.337,-0.946,0.756,False,240,3,2023-10-04 13:00:00+00:00,2023-10-14 13:00:00+00:00,0.0271,8.0,False,27.7
2023-10-16 18:00:00+00:00,BTCUSD,LONG,continuation,62,25,0,7,5,12,3,5,1,3,1,28460.916,D1_SUPPORT,28300.04223,27875.541597,29762.488333,3.445,0.015,TP,2.073,-0.544,3.64,True,83,5,2023-10-16 21:00:00+00:00,2023-10-20 08:00:00+00:00,0.0542,6.0,False,33.0
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,72,25,5,7,3,15,4,5,4,3,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,TP,1.577,-0.633,3.04,True,41,5,2023-10-21 23:00:00+00:00,2023-10-23 16:00:00+00:00,0.0873,5.0,False,62.6
2024-01-15 01:00:00+00:00,BTCUSD,SHORT,continuation,55,8,5,7,3,12,4,4,8,3,1,42821.782,D1_RESISTANCE,42359.73036,43249.99982,39243.78725,3.5,0.021,SL,-1.057,-1.169,0.221,False,16,2,2024-01-15 02:00:00+00:00,2024-01-15 18:00:00+00:00,-0.0217,5.0,False,27.9
2024-01-19 03:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,12,4,4,8,3,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-0.611,-1.066,1.662,False,12,3,2024-01-19 06:00:00+00:00,2024-01-19 18:00:00+00:00,-0.0466,0.0,False,39.1
2024-01-22 03:00:00+00:00,BTCUSD,SHORT,continuation,67,16,5,7,5,15,4,3,8,3,1,41572.84,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,TP,2.108,0.0,3.866,True,27,5,2024-01-22 06:00:00+00:00,2024-01-23 09:00:00+00:00,-0.0378,13.0,False,28.6
2024-01-24 06:00:00+00:00,BTCUSD,SHORT,continuation,66,25,2,10,1,12,4,0,8,3,1,40448.7325,D1_RESISTANCE,40280.691963,40887.938575,38155.328819,3.5,0.0151,SL,-0.611,-1.758,1.312,False,49,3,2024-01-24 10:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0611,16.0,False,40.2
2024-01-29 16:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,42825.265,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-0.696,-1.244,1.07,False,41,3,2024-01-29 17:00:00+00:00,2024-01-31 10:00:00+00:00,0.0247,5.0,False,29.9
2024-02-02 11:00:00+00:00,BTCUSD,LONG,continuation,62,25,5,7,1,15,4,0,1,3,1,42821.782,D1_SUPPORT,43062.11318,42393.56418,44578.96,2.269,0.0155,SL,-0.685,-1.257,0.637,False,58,3,2024-02-02 12:00:00+00:00,2024-02-04 22:00:00+00:00,0.0191,7.0,False,23.0
2024-03-23 19:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,3,15,4,3,0,3,1,64334.58,H4_SUPPORT,64743.1542,63691.2342,67169.077,2.306,0.0162,TP,1.368,-0.923,2.743,True,27,5,2024-03-23 20:00:00+00:00,2024-03-24 23:00:00+00:00,0.0347,5.0,False,22.9
2024-03-27 12:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,SL,0.581,-2.943,2.418,True,132,5,2024-03-27 14:00:00+00:00,2024-04-02 02:00:00+00:00,0.1001,0.0,False,29.4
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,65,25,2,10,0,15,4,4,1,3,1,67159.533333,H4_SUPPORT,67728.26202,66487.938,70523.325,2.253,0.0183,SL,-1.066,-1.087,0.018,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.427,-0.3,2.787,True,49,5,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,15,4,5,4,3,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,SL,0.0,-1.584,1.871,True,20,4,2024-04-14 02:00:00+00:00,2024-04-14 22:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-15 11:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,3,15,4,0,1,3,1,65635.006364,H4_SUPPORT,65728.39976,63709.8228,71046.888,2.635,0.0307,SL,-1.039,-1.198,0.123,False,4,2,2024-04-15 13:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0154,17.0,False,42.2
2024-04-16 18:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,0,15,4,4,8,3,1,63760.566667,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,TP,1.854,-0.583,3.316,True,17,5,2024-04-16 21:00:00+00:00,2024-04-17 14:00:00+00:00,-0.0546,10.0,False,46.4
2024-04-17 15:00:00+00:00,BTCUSD,SHORT,continuation,60,16,0,7,5,15,4,5,4,3,1,60955.181429,H4_RESISTANCE,60578.229287,61491.468925,57381.890556,3.5,0.0151,SL,-1.08,-1.509,0.503,False,2,2,2024-04-17 16:00:00+00:00,2024-04-17 18:00:00+00:00,-0.0921,0.0,False,46.1
2024-04-18 07:00:00+00:00,BTCUSD,SHORT,continuation,59,16,5,7,1,9,4,5,8,3,1,62307.776364,H4_RESISTANCE,61300.43616,62930.854128,55593.973273,3.5,0.0266,SL,-1.045,-1.087,0.0,False,3,2,2024-04-18 08:00:00+00:00,2024-04-18 11:00:00+00:00,-0.0762,9.0,False,48.5
2024-04-21 04:00:00+00:00,BTCUSD,LONG,continuation,60,16,5,7,3,15,4,5,1,3,1,64903.755,H4_SUPPORT,64925.888,63033.7104,68882.0,2.091,0.0291,SL,-0.149,-1.127,1.219,True,102,4,2024-04-21 07:00:00+00:00,2024-04-25 13:00:00+00:00,-0.0126,10.0,False,30.1
2024-04-25 14:00:00+00:00,BTCUSD,SHORT,continuation,62,16,5,7,5,12,4,5,4,3,1,64158.0325,D1_RESISTANCE,64306.426415,65275.870029,62307.964167,2.061,0.0151,SL,-1.08,-1.023,0.0,False,5,2,2024-04-25 16:00:00+00:00,2024-04-25 21:00:00+00:00,-0.0367,0.0,False,20.8
2024-04-26 10:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,7,3,15,4,0,4,3,1,64788.357857,H4_RESISTANCE,64306.426415,65275.870029,60913.373765,3.5,0.0151,TP,2.108,-0.53,3.681,True,96,5,2024-04-26 12:00:00+00:00,2024-04-30 12:00:00+00:00,-0.0248,0.0,False,20.7
2024-04-30 13:00:00+00:00,BTCUSD,SHORT,continuation,55,16,5,7,5,5,4,5,4,3,1,62397.982,D1_RESISTANCE,60942.21114,63021.96182,53663.08376,3.5,0.0341,SL,0.121,-1.087,2.111,True,78,4,2024-04-30 14:00:00+00:00,2024-05-03 20:00:00+00:00,-0.0667,0.0,False,23.2
2024-05-06 09:00:00+00:00,BTCUSD,LONG,continuation,54,16,5,7,5,12,4,0,1,3,1,64477.013333,D1_SUPPORT,65035.8676,63832.2432,68882.0,3.195,0.0185,SL,-1.065,-1.406,0.0,False,2,2,2024-05-06 10:00:00+00:00,2024-05-06 12:00:00+00:00,0.0178,5.0,False,33.0
2024-05-08 09:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,7,3,15,4,0,4,3,1,62595.908333,D1_RESISTANCE,62426.61402,63363.01323,60369.6075,2.197,0.015,SL,0.494,-1.071,1.919,True,36,5,2024-05-08 10:00:00+00:00,2024-05-09 22:00:00+00:00,-0.0255,0.0,False,25.4
2024-05-17 15:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,7,5,15,4,5,1,3,1,67160.595,D1_SUPPORT,67060.7098,65254.506075,71604.535,2.516,0.0269,TP,1.528,-0.666,2.723,True,80,5,2024-05-17 16:00:00+00:00,2024-05-21 00:00:00+00:00,0.0577,0.0,False,31.9
2024-05-23 17:00:00+00:00,BTCUSD,LONG,continuation,62,25,3,10,0,15,4,0,1,3,1,67160.595,D1_SUPPORT,67522.775317,66509.933687,71067.721021,3.5,0.015,SL,-1.08,-1.195,0.424,False,2,2,2024-05-23 18:00:00+00:00,2024-05-23 20:00:00+00:00,0.0395,7.0,False,31.1
