signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-10-18 06:00:00+00:00,BTCUSD,LONG,continuation,74,25,5,7,5,15,4,5,4,3,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29785.794447,3.5,0.015,TP,2.108,-0.47,3.64,True,47,5,2023-10-18 09:00:00+00:00,2023-10-20 08:00:00+00:00,0.0539,11.0,False,52.0
2023-10-21 21:00:00+00:00,BTCUSD,LONG,continuation,72,25,5,7,3,15,4,5,4,3,1,29796.418571,D1_SUPPORT,29924.34138,29475.476259,31114.2425,2.651,0.015,TP,1.577,-0.633,3.04,True,41,5,2023-10-21 23:00:00+00:00,2023-10-23 16:00:00+00:00,0.0873,5.0,False,62.6
2024-07-16 13:00:00+00:00,BTCUSD,LONG,continuation,70,25,5,7,1,15,4,5,4,3,1,62832.043333,D1_SUPPORT,63293.15002,62203.7229,66059.808571,2.54,0.0172,TP,1.518,0.0,2.603,True,11,5,2024-07-16 14:00:00+00:00,2024-07-17 01:00:00+00:00,0.0336,10.0,False,37.9
2024-07-20 02:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,7,3,15,4,4,4,3,1,66068.41125,D1_SUPPORT,66437.42886,65407.727138,68985.0,2.474,0.0155,SL,0.6,-1.27,1.978,True,112,5,2024-07-20 05:00:00+00:00,2024-07-24 21:00:00+00:00,0.0734,8.0,False,26.1
2024-07-29 02:00:00+00:00,BTCUSD,LONG,continuation,74,25,5,7,5,15,4,5,4,3,1,68973.0675,D1_SUPPORT,69419.882,68283.336825,72135.8875,2.39,0.0164,SL,-1.073,-1.186,0.581,False,11,2,2024-07-29 03:00:00+00:00,2024-07-29 14:00:00+00:00,0.0858,3.0,False,22.2
2024-09-16 19:00:00+00:00,BTCUSD,SHORT,continuation,72,25,5,7,3,15,4,5,4,3,1,58671.5,D1_RESISTANCE,58059.87798,59258.215,55489.014,2.145,0.0206,SL,-1.058,-1.014,0.377,False,14,2,2024-09-16 20:00:00+00:00,2024-09-17 10:00:00+00:00,-0.0156,13.0,False,21.8
2024-12-25 23:00:00+00:00,BTCUSD,LONG,continuation,70,25,5,7,1,15,4,5,4,3,1,99304.552,D1_SUPPORT,98475.997,96998.857045,101663.266667,2.158,0.015,SL,-1.08,-1.936,0.468,False,6,2,2024-12-26 02:00:00+00:00,2024-12-26 08:00:00+00:00,0.0316,4.0,False,30.9
2025-03-29 21:00:00+00:00,BTCUSD,SHORT,continuation,71,25,5,7,0,15,4,3,8,3,1,82749.345,D1_RESISTANCE,82683.77748,85382.984838,73236.551729,3.5,0.0326,SL,-1.037,-1.043,0.521,False,63,2,2025-03-30 00:00:00+00:00,2025-04-01 15:00:00+00:00,-0.0501,23.0,False,33.8
2025-04-23 04:00:00+00:00,BTCUSD,LONG,continuation,71,25,0,7,3,15,4,5,8,3,1,93507.1025,D1_SUPPORT,93478.65802,90706.4532,101077.3225,2.741,0.0297,TIMEOUT,1.003,-0.656,1.593,True,240,4,2025-04-23 05:00:00+00:00,2025-05-03 05:00:00+00:00,0.1044,15.0,False,39.2
2025-05-03 14:00:00+00:00,BTCUSD,LONG,continuation,70,25,2,10,1,15,5,4,4,3,1,95399.801667,D1_SUPPORT,96188.1881,92437.392712,106670.8675,2.795,0.039,TIMEOUT,1.52,-0.749,2.568,True,240,5,2025-05-03 16:00:00+00:00,2025-05-13 16:00:00+00:00,0.0769,33.0,False,22.6
