signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-07-13 02:00:00+00:00,BTCUSD,SHORT,continuation,55,8,5,7,3,15,4,5,4,3,1,30418.0,H4_RESISTANCE,30398.2251,31411.5555,26851.5687,3.5,0.0333,SL,-1.036,-1.068,0.052,False,12,2,2023-07-13 06:00:00+00:00,2023-07-13 18:00:00+00:00,0.0334,5.0,False,25.4
2023-07-22 07:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,5,15,4,0,1,3,1,29705.486,D1_SUPPORT,29884.88046,29408.43114,31114.2425,2.58,0.0159,SL,-1.075,-1.857,0.976,False,47,2,2023-07-22 10:00:00+00:00,2023-07-24 09:00:00+00:00,0.0078,5.0,False,26.8
2023-09-15 18:00:00+00:00,BTCUSD,SHORT,continuation,60,16,2,10,3,12,4,5,4,3,1,26677.342857,D1_RESISTANCE,26400.07476,26944.116286,25091.8417,2.405,0.0206,SL,-1.058,-1.003,0.049,False,62,2,2023-09-15 19:00:00+00:00,2023-09-18 09:00:00+00:00,-0.0115,25.0,False,32.8
2023-10-18 06:00:00+00:00,BTCUSD,LONG,continuation,74,25,5,7,5,15,4,5,4,3,1,28334.574,D1_SUPPORT,28300.04223,27875.541597,29761.3083,3.442,0.015,TP,2.502,-0.47,3.64,True,47,3,2023-10-18 09:00:00+00:00,2023-10-20 08:00:00+00:00,0.0539,11.0,False,52.0
2024-01-16 09:00:00+00:00,BTCUSD,LONG,continuation,56,16,2,10,5,15,4,0,0,3,1,42821.782,D1_SUPPORT,42854.12998,42211.31803,44294.512222,2.241,0.015,SL,-1.08,-1.251,0.498,False,4,2,2024-01-16 10:00:00+00:00,2024-01-16 14:00:00+00:00,-0.0054,10.0,False,31.4
2024-01-26 07:00:00+00:00,BTCUSD,SHORT,continuation,66,25,2,10,1,12,4,0,8,3,1,40469.986,D1_RESISTANCE,40269.64995,40876.7301,38144.869425,3.5,0.0151,SL,-1.08,-1.777,0.332,False,2,2,2024-01-26 09:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0525,7.0,False,30.7
2024-04-04 20:00:00+00:00,BTCUSD,LONG,continuation,71,25,5,10,3,15,4,4,1,3,1,67144.945455,H4_SUPPORT,67795.39748,66473.496,70523.325,2.064,0.0195,SL,-1.062,-1.071,0.727,False,8,2,2024-04-04 21:00:00+00:00,2024-04-05 05:00:00+00:00,0.0349,40.0,True,44.3
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.724,-0.3,2.787,True,49,3,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-15 13:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,3,15,4,0,1,3,1,65635.006364,H4_SUPPORT,65734.03846,63709.8228,71046.888,2.625,0.0308,SL,-1.039,-1.197,0.0,False,3,2,2024-04-15 14:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0154,17.0,False,42.2
2024-04-25 22:00:00+00:00,BTCUSD,SHORT,continuation,55,16,2,10,1,9,4,5,4,3,1,66079.343077,H4_RESISTANCE,64732.19598,66740.136508,60369.6075,2.173,0.031,BE,0.504,-0.044,1.477,True,97,3,2024-04-25 23:00:00+00:00,2024-04-30 00:00:00+00:00,-0.0178,16.0,False,21.4
