signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2025-02-02 20:00:00+00:00,BTCUSD,SHORT,continuation,50,16,5,7,5,5,4,5,1,1,1,75185.044785,H4_RESISTANCE,73349.718465,75936.895233,67375.973599,2.309,0.0353,SL,-0.64,-1.074,0.655,False,157,3,2025-02-02 21:00:00+00:00,2025-02-09 10:00:00+00:00,,10.0,False,11.9
2025-02-09 11:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,5,15,4,3,1,1,1,75550.927578,H4_SUPPORT,75716.472828,74580.725735,78477.916234,2.431,0.015,TP,1.44,-0.523,2.469,True,45,5,2025-02-09 13:00:00+00:00,2025-02-11 10:00:00+00:00,0.0347,0.0,False,15.8
2025-02-16 23:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,5,15,4,0,1,1,1,77175.947468,H4_SUPPORT,75811.487929,74674.31561,78245.287067,2.14,0.015,TP,1.258,-0.671,2.344,True,5,5,2025-02-17 01:00:00+00:00,2025-02-17 06:00:00+00:00,0.0287,38.0,True,25.2
2025-04-28 07:00:00+00:00,BTCUSD,LONG,continuation,49,25,3,2,0,12,4,0,1,1,1,183264.94874,H4_SUPPORT,185479.93286,181432.299253,195758.497254,2.539,0.0218,TIMEOUT,0.031,-0.945,0.883,False,63,3,2025-04-28 08:00:00+00:00,2025-04-30 23:00:00+00:00,0.1089,12.0,False,19.3
2025-03-10 04:00:00+00:00,ETHUSD,SHORT,continuation,60,16,5,7,5,15,4,5,1,1,1,2435.810548,D1_RESISTANCE,2441.670128,2478.479225,2353.347361,2.399,0.0151,SL,-1.08,-1.172,0.063,False,14,2,2025-03-10 05:00:00+00:00,2025-03-10 19:00:00+00:00,0.0026,5.0,False,41.3
2025-03-11 08:00:00+00:00,ETHUSD,LONG,continuation,52,8,5,10,5,12,4,5,1,1,1,2504.888447,H4_SUPPORT,2530.570447,2479.839563,2637.824292,2.114,0.02,TP,1.261,-0.749,2.33,True,26,5,2025-03-11 09:00:00+00:00,2025-03-12 11:00:00+00:00,0.0461,50.0,True,41.5
2025-03-21 08:00:00+00:00,ETHUSD,SHORT,continuation,52,8,5,7,5,15,4,5,1,1,1,2586.443332,H4_RESISTANCE,2578.633784,2617.313291,2443.25551,3.5,0.015,TP,2.107,-0.293,3.716,True,41,5,2025-03-21 09:00:00+00:00,2025-03-23 02:00:00+00:00,0.0232,25.0,False,13.7
2025-03-23 11:00:00+00:00,ETHUSD,SHORT,continuation,50,16,5,7,0,15,4,0,1,1,1,2502.48965,D1_RESISTANCE,2496.254281,2533.698096,2365.200932,3.5,0.015,TP,2.107,0.0,3.869,True,15,5,2025-03-23 12:00:00+00:00,2025-03-24 03:00:00+00:00,-0.0097,12.0,False,22.3
2025-03-24 08:00:00+00:00,ETHUSD,SHORT,continuation,53,16,0,7,3,15,4,5,1,1,1,2352.668461,H4_RESISTANCE,2349.427557,2443.232206,2151.913127,2.106,0.0399,TIMEOUT,0.918,-0.622,1.987,True,240,5,2025-03-24 09:00:00+00:00,2025-04-03 09:00:00+00:00,-0.066,6.0,False,25.7
2025-04-04 06:00:00+00:00,ETHUSD,LONG,continuation,54,16,0,7,5,15,4,4,1,1,1,2509.20092,H4_SUPPORT,2514.621182,2476.901864,2646.638794,3.5,0.015,TP,2.107,0.0,3.886,True,3,5,2025-04-04 07:00:00+00:00,2025-04-04 10:00:00+00:00,0.0527,0.0,False,32.7
2025-04-16 23:00:00+00:00,ETHUSD,LONG,continuation,52,16,2,2,5,15,4,5,1,1,1,2579.882358,H4_SUPPORT,2598.642785,2554.083534,2697.732501,2.224,0.0171,SL,0.514,-1.297,1.87,True,139,5,2025-04-17 01:00:00+00:00,2025-04-22 20:00:00+00:00,0.0258,25.0,False,22.1
2025-04-24 05:00:00+00:00,ETHUSD,SHORT,continuation,58,25,0,7,5,9,4,5,1,1,1,2513.165478,D1_RESISTANCE,2505.518856,2543.290497,2373.318112,3.5,0.0151,SL,-1.08,-1.061,0.299,False,9,2,2025-04-24 09:00:00+00:00,2025-04-24 18:00:00+00:00,-0.0338,0.0,False,20.1
2025-04-25 23:00:00+00:00,ETHUSD,LONG,continuation,55,25,2,7,0,12,4,2,1,1,1,2578.248209,H4_SUPPORT,2615.134498,2552.465727,2744.682478,2.067,0.024,TP,1.242,-0.876,2.096,True,43,5,2025-04-26 00:00:00+00:00,2025-04-27 19:00:00+00:00,0.0223,24.0,False,24.2
2025-04-27 20:00:00+00:00,ETHUSD,LONG,continuation,57,25,5,7,3,5,4,5,1,1,1,2625.06269,H4_SUPPORT,2680.431131,2640.224664,2762.098402,2.031,0.015,TP,1.189,-0.42,2.303,True,9,5,2025-04-28 00:00:00+00:00,2025-04-28 09:00:00+00:00,0.0531,5.0,False,30.6
2025-04-28 14:00:00+00:00,ETHUSD,LONG,continuation,50,25,2,7,0,9,4,0,1,1,1,2649.287681,H4_SUPPORT,2680.431131,2640.224664,2762.098402,2.031,0.015,TP,1.189,-0.737,2.088,True,4,5,2025-04-28 15:00:00+00:00,2025-04-28 19:00:00+00:00,0.0493,12.0,False,34.9
