signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2024-01-15 00:00:00+00:00,BTCUSD,SHORT,continuation,67,16,5,7,3,15,4,5,8,3,1,42419.317143,H4_RESISTANCE,42364.3095,43768.52675,37780.0575,3.265,0.0331,TIMEOUT,1.613,-0.864,2.713,True,240,5,2024-01-15 01:00:00+00:00,2024-01-25 01:00:00+00:00,-0.0216,10.0,False,27.9
2024-01-25 10:00:00+00:00,BTCUSD,SHORT,continuation,63,25,2,2,0,15,4,3,8,3,1,40471.63875,H4_RESISTANCE,40288.640078,40896.006512,38162.857562,3.5,0.0151,SL,-0.611,-1.744,1.216,False,24,3,2024-01-25 11:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0521,12.0,False,33.6
2024-03-23 20:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,3,15,4,3,0,3,1,64334.58,H4_SUPPORT,64879.76044,63691.2342,68055.702,2.672,0.0183,TP,1.605,-0.932,3.845,True,41,5,2024-03-23 21:00:00+00:00,2024-03-25 14:00:00+00:00,0.0369,5.0,False,22.9
2024-03-27 11:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,SL,0.581,-2.943,2.418,True,132,5,2024-03-27 14:00:00+00:00,2024-04-02 02:00:00+00:00,0.1007,0.0,False,29.4
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,62,25,2,10,0,12,4,4,1,3,1,67092.185556,H4_SUPPORT,67728.26202,66421.2637,70523.325,2.139,0.0193,SL,-1.062,-1.032,0.017,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67114.967,H4_SUPPORT,67973.20116,66443.81733,71495.184,2.303,0.0225,TP,1.386,-0.291,2.706,True,49,5,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,15,4,5,4,3,1,64358.515556,H4_RESISTANCE,63936.99457,64900.86886,60563.434555,3.5,0.0151,SL,0.077,-1.584,1.871,True,20,4,2024-04-14 02:00:00+00:00,2024-04-14 22:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-14 23:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,5,15,4,0,1,3,1,65661.279091,H4_SUPPORT,65530.51632,63767.34837,69313.9775,2.146,0.0269,SL,-0.66,-1.259,0.758,False,17,3,2024-04-15 00:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0189,20.0,False,42.6
2024-04-16 18:00:00+00:00,BTCUSD,SHORT,continuation,60,16,5,7,0,12,4,4,8,3,1,64112.319091,H4_RESISTANCE,63936.99457,64900.86886,60563.434555,3.5,0.0151,TP,2.108,-0.583,4.201,True,18,5,2024-04-16 21:00:00+00:00,2024-04-17 15:00:00+00:00,-0.0546,10.0,False,46.4
2024-04-17 20:00:00+00:00,BTCUSD,SHORT,continuation,57,16,5,7,3,9,4,5,4,3,1,62315.564,H4_RESISTANCE,60968.48358,62938.71964,54072.65737,3.5,0.0323,SL,-1.037,-1.068,0.084,False,14,2,2024-04-17 21:00:00+00:00,2024-04-18 11:00:00+00:00,-0.0832,8.0,False,47.1
