signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2024-01-15 00:00:00+00:00,BTCUSD,SHORT,continuation,64,16,5,7,3,12,4,5,8,3,1,42821.782,D1_RESISTANCE,42364.3095,43249.99982,39264.39338,3.5,0.0209,SL,-1.057,-1.17,0.227,False,17,2,2024-01-15 01:00:00+00:00,2024-01-15 18:00:00+00:00,-0.0216,10.0,False,27.9
2024-01-19 03:00:00+00:00,BTCUSD,SHORT,continuation,72,25,5,7,3,12,4,4,8,3,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-0.611,-1.066,1.662,False,12,3,2024-01-19 06:00:00+00:00,2024-01-19 18:00:00+00:00,-0.0466,0.0,False,39.1
2024-01-22 03:00:00+00:00,BTCUSD,SHORT,continuation,76,25,5,7,5,15,4,3,8,3,1,41572.84,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,TP,2.108,0.0,3.866,True,27,5,2024-01-22 06:00:00+00:00,2024-01-23 09:00:00+00:00,-0.0378,13.0,False,28.6
2024-01-24 06:00:00+00:00,BTCUSD,SHORT,continuation,66,25,2,10,1,12,4,0,8,3,1,40448.7325,D1_RESISTANCE,40280.691963,40887.938575,38155.328819,3.5,0.0151,SL,-0.611,-1.758,1.312,False,49,3,2024-01-24 10:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0611,16.0,False,40.2
2024-01-28 16:00:00+00:00,BTCUSD,LONG,continuation,55,16,5,7,0,15,4,3,1,3,1,42619.746,D1_SUPPORT,42227.71532,41157.1116,44523.24,2.144,0.0254,TIMEOUT,0.949,-0.567,1.546,True,240,4,2024-01-28 17:00:00+00:00,2024-02-07 17:00:00+00:00,0.0037,23.0,False,32.7
2024-03-27 10:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,SL,0.581,-2.943,2.418,True,132,5,2024-03-27 14:00:00+00:00,2024-04-02 02:00:00+00:00,0.1001,8.0,False,29.5
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,65,25,2,10,0,15,4,4,1,3,1,67159.533333,H4_SUPPORT,67728.26202,66487.938,70523.325,2.253,0.0183,SL,-1.066,-1.087,0.018,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.427,-0.3,2.787,True,49,5,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,15,4,5,4,3,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,SL,0.0,-1.584,1.871,True,20,4,2024-04-14 02:00:00+00:00,2024-04-14 22:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-14 23:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,5,15,4,0,1,3,1,65652.089167,H4_SUPPORT,65530.51632,63709.8228,69231.906,2.033,0.0278,SL,-0.666,-1.219,0.734,False,17,3,2024-04-15 00:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0189,20.0,False,42.6
2024-04-16 18:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,0,15,4,4,8,3,1,63760.566667,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,TP,1.854,-0.583,3.316,True,17,5,2024-04-16 21:00:00+00:00,2024-04-17 14:00:00+00:00,-0.0546,10.0,False,46.4
2024-04-17 15:00:00+00:00,BTCUSD,SHORT,continuation,60,16,0,7,5,15,4,5,4,3,1,60955.181429,H4_RESISTANCE,60578.229287,61491.468925,57381.890556,3.5,0.0151,SL,-1.08,-1.509,0.503,False,2,2,2024-04-17 16:00:00+00:00,2024-04-17 18:00:00+00:00,-0.0921,0.0,False,46.1
2024-04-18 07:00:00+00:00,BTCUSD,SHORT,continuation,59,16,5,7,1,9,4,5,8,3,1,62307.776364,H4_RESISTANCE,61300.43616,62930.854128,55593.973273,3.5,0.0266,SL,-1.045,-1.087,0.0,False,3,2,2024-04-18 08:00:00+00:00,2024-04-18 11:00:00+00:00,-0.0762,9.0,False,48.5
2024-04-18 12:00:00+00:00,BTCUSD,SHORT,continuation,58,16,2,10,0,9,4,5,8,3,1,63616.677778,H4_RESISTANCE,62357.42592,64252.844556,55723.460695,3.5,0.0304,SL,-0.571,-1.37,1.455,False,17,3,2024-04-18 13:00:00+00:00,2024-04-19 06:00:00+00:00,-0.0598,22.0,False,47.5
2024-04-19 19:00:00+00:00,BTCUSD,SHORT,continuation,60,16,2,10,5,15,4,0,4,3,1,64285.79,D1_RESISTANCE,64371.4454,65341.8692,62307.964167,2.126,0.0151,SL,-0.181,-1.079,1.461,True,20,4,2024-04-19 21:00:00+00:00,2024-04-20 17:00:00+00:00,-0.0255,20.0,False,37.7
2024-04-21 02:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,64938.104667,H4_SUPPORT,65167.39402,63033.7104,69615.642222,2.085,0.0327,SL,-0.656,-1.112,0.968,False,106,3,2024-04-21 03:00:00+00:00,2024-04-25 13:00:00+00:00,-0.009,5.0,False,32.0
2024-04-25 14:00:00+00:00,BTCUSD,SHORT,continuation,62,16,5,7,5,12,4,5,4,3,1,64158.0325,D1_RESISTANCE,64306.426415,65275.870029,62307.964167,2.061,0.0151,SL,-1.08,-1.023,0.0,False,5,2,2024-04-25 16:00:00+00:00,2024-04-25 21:00:00+00:00,-0.0367,0.0,False,20.8
2024-04-26 10:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,7,3,15,4,0,4,3,1,64788.357857,H4_RESISTANCE,64306.426415,65275.870029,60913.373765,3.5,0.0151,TP,2.108,-0.53,3.681,True,96,5,2024-04-26 12:00:00+00:00,2024-04-30 12:00:00+00:00,-0.0248,0.0,False,20.7
2024-05-02 13:00:00+00:00,BTCUSD,SHORT,continuation,67,25,2,7,1,12,4,4,8,3,1,59177.552857,H4_RESISTANCE,59080.74782,59971.41236,55963.42193,3.5,0.0151,SL,-1.08,-1.031,0.498,False,13,2,2024-05-02 14:00:00+00:00,2024-05-03 03:00:00+00:00,-0.0925,12.0,False,31.5
2024-05-06 08:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,65602.040714,H4_SUPPORT,65012.75392,63832.2432,68882.0,3.278,0.0182,SL,-1.066,-1.414,0.0,False,2,2,2024-05-06 10:00:00+00:00,2024-05-06 12:00:00+00:00,0.0175,5.0,False,33.0
2024-05-09 01:00:00+00:00,BTCUSD,SHORT,continuation,57,16,5,7,3,9,4,5,4,3,1,62662.89,D1_RESISTANCE,61773.327934,62704.584134,58513.931234,3.5,0.0151,SL,-0.611,-1.127,1.228,False,18,3,2024-05-09 03:00:00+00:00,2024-05-09 21:00:00+00:00,-0.0362,11.0,False,21.3
2024-05-16 14:00:00+00:00,BTCUSD,LONG,continuation,63,25,5,7,0,9,4,5,4,3,1,64443.216,D1_SUPPORT,65039.968935,64064.369401,67160.595,2.174,0.015,TP,1.279,-0.214,2.472,True,22,5,2024-05-16 17:00:00+00:00,2024-05-17 15:00:00+00:00,0.0354,20.0,False,29.5
2024-05-17 16:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,3,12,4,5,1,3,1,65913.6425,D1_SUPPORT,66796.13002,65254.506075,71604.535,3.119,0.0231,TP,1.897,-0.609,3.362,True,79,5,2024-05-17 17:00:00+00:00,2024-05-21 00:00:00+00:00,0.0535,5.0,False,31.9
2024-05-23 17:00:00+00:00,BTCUSD,LONG,continuation,62,25,3,10,0,15,4,0,1,3,1,67160.595,D1_SUPPORT,67522.775317,66509.933687,71067.721021,3.5,0.015,SL,-1.08,-1.195,0.424,False,2,2,2024-05-23 18:00:00+00:00,2024-05-23 20:00:00+00:00,0.0395,7.0,False,31.1
