signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2024-01-15 02:00:00+00:00,BTCUSD,SHORT,continuation,66,16,5,7,3,15,4,4,8,3,1,42821.782,D1_RESISTANCE,42484.51944,43249.99982,39805.33811,3.5,0.018,SL,-1.067,-1.197,0.42,False,15,2,2024-01-15 03:00:00+00:00,2024-01-15 18:00:00+00:00,-0.0188,10.0,False,27.9
2024-01-19 03:00:00+00:00,BTCUSD,SHORT,continuation,72,25,5,7,3,12,4,4,8,3,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-0.611,-1.066,1.662,False,12,3,2024-01-19 06:00:00+00:00,2024-01-19 18:00:00+00:00,-0.0466,0.0,False,39.1
2024-01-22 03:00:00+00:00,BTCUSD,SHORT,continuation,76,25,5,7,5,15,4,3,8,3,1,41572.84,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,TP,2.108,0.0,3.866,True,27,5,2024-01-22 06:00:00+00:00,2024-01-23 09:00:00+00:00,-0.0378,13.0,False,28.6
2024-01-24 06:00:00+00:00,BTCUSD,SHORT,continuation,66,25,2,10,1,12,4,0,8,3,1,40448.7325,D1_RESISTANCE,40280.691963,40887.938575,38155.328819,3.5,0.0151,SL,-0.611,-1.758,1.312,False,49,3,2024-01-24 10:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0611,16.0,False,40.2
2024-01-29 16:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,42825.265,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-0.696,-1.244,1.07,False,41,3,2024-01-29 17:00:00+00:00,2024-01-31 10:00:00+00:00,0.0247,5.0,False,29.9
2024-01-31 19:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,3,15,4,4,1,3,1,42821.782,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-1.08,-1.408,0.0,False,1,2,2024-01-31 20:00:00+00:00,2024-01-31 21:00:00+00:00,0.0246,31.0,False,33.3
2024-02-01 02:00:00+00:00,BTCUSD,LONG,continuation,54,16,3,10,0,12,4,4,1,3,1,41572.84,D1_SUPPORT,42078.23488,41157.1116,44523.24,2.654,0.0219,TP,1.604,-0.204,2.845,True,165,5,2024-02-01 03:00:00+00:00,2024-02-08 00:00:00+00:00,-0.0033,22.0,False,30.9
2024-03-23 21:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,3,15,4,3,0,3,1,64334.58,H4_SUPPORT,64814.80062,63691.2342,67169.077,2.095,0.0173,TP,1.24,-0.928,2.504,True,25,5,2024-03-23 22:00:00+00:00,2024-03-24 23:00:00+00:00,0.0359,5.0,False,22.9
2024-03-27 12:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,SL,0.581,-2.943,2.418,True,132,5,2024-03-27 14:00:00+00:00,2024-04-02 02:00:00+00:00,0.1001,0.0,False,29.4
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,65,25,2,10,0,15,4,4,1,3,1,67159.533333,H4_SUPPORT,67728.26202,66487.938,70523.325,2.253,0.0183,SL,-1.066,-1.087,0.018,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.427,-0.3,2.787,True,49,5,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,15,4,5,4,3,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,SL,0.0,-1.584,1.871,True,20,4,2024-04-14 02:00:00+00:00,2024-04-14 22:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-14 23:00:00+00:00,BTCUSD,LONG,continuation,57,16,2,10,5,15,4,0,1,3,1,65652.089167,H4_SUPPORT,65530.51632,63709.8228,69231.906,2.033,0.0278,SL,-0.666,-1.219,0.734,False,17,3,2024-04-15 00:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0189,20.0,False,42.6
2024-04-16 18:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,0,15,4,4,8,3,1,63760.566667,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,TP,1.854,-0.583,3.316,True,17,5,2024-04-16 21:00:00+00:00,2024-04-17 14:00:00+00:00,-0.0546,10.0,False,46.4
2024-04-17 15:00:00+00:00,BTCUSD,SHORT,continuation,60,16,0,7,5,15,4,5,4,3,1,60955.181429,H4_RESISTANCE,60578.229287,61491.468925,57381.890556,3.5,0.0151,SL,-1.08,-1.509,0.503,False,2,2,2024-04-17 16:00:00+00:00,2024-04-17 18:00:00+00:00,-0.0921,0.0,False,46.1
2024-04-18 07:00:00+00:00,BTCUSD,SHORT,continuation,59,16,5,7,1,9,4,5,8,3,1,62307.776364,H4_RESISTANCE,61300.43616,62930.854128,55593.973273,3.5,0.0266,SL,-1.045,-1.087,0.0,False,3,2,2024-04-18 08:00:00+00:00,2024-04-18 11:00:00+00:00,-0.0762,9.0,False,48.5
